district,extent_of_coveragseh_uo_out_of_g_total_no_of_crop_loan_accounts_covered_under_in,growth_parameters_over_the_previous_period_nrtd_teer_rcmr_ocpre_idnistu_rwanocre,growth_in_amount_of_short_term_credit_working_capital_for_allied_activities_to_f,itiegsrowth_in_agriculture_term_loan_disbursed_growth_in_no_of_accounts_of_term,growth_in_amount_of_term_loan_for_agriculture_and_allied_activities_farm_credit,growth_in_agriculture_growth_in_no_of_accounts_in_agriculture_infrastructure_no,growth_in_no_of_amount_in_agriculture_infrastructure_no_of_amount_ad,crop_insurance_growth_in_number_of_claims_received_and_settled_ae,market_development_linkage_growth_in_number_of_fpos_financed_by_banks_af,growth_in_amount_in_no_of_fpos_financed_by_banksamount_in_rs_lacs_ag,growth_in_number_of_shgs_jlgs_financed_by_banks_ah,growth_in_amount_of_shgs_jlgs_financed_by_banksamount_in_rs_lacs_ai,growth_in_number_of_accounts_against_warehouse_receipts_aj,growth_in_number_of_amount_against_warehouse_receiptsamount_in_rs_lacs_ak
Bokaro,0,200,200,150,200,,,,,,5804,15574,,
Chatra,0,,,,,,,,,,,,,
Deoghar,0,0,0,-232,162,9,309,0,0,0,1580,7558,0,0
Dhanbad,,,,,,,,,,,,,,
Dumka,0,147,106,26,16,0,0,0,0,0,2273,6819,0,0
Garhwa,0,6703,7808,27287,13991,277,80,0,0,0,854,1583,0,0
Giridih,0,876,1767,2638,1774,39,48,,0,0,4134,4695,0,0
Godda,0,180,84,80,800,0,0,0,0,0,11600,13015,0,0
Gumla,0,160,138,80,93,0,0,0,0,0,323,1053,0,0
Hazaribagh,137202,26415,2009,2546,5166,23,90,0,10,85,10524,13233,0,0
Jamtara,23847,747,8,2,165,,,,,,91,45,,
Khunti,0,166,110,134,125,0,0,0,0,0,0,0,0,0
Koderma,112355,0,0,35,9,0,0,0,0,0,12025,95,0,0
Latehar,,,,4780,3643,183,55,,,,935,982,,
Lohardaga,0,1893,1358,3111,1926,0,0,0,0,0,16584,23587,0,0
Pakur,20609,7115,5218,9616,7904,0,0,0,0,0,6439,8770,0,0
Palamu,,,,4063,4025,221,89,,,,10860,24398,,
Ramgarh,,,,,,,,,,,2387,,,
Ranchi,19368,11619,3344,240,98,,,,,,8368,8513,,
Sahibganj,,6970,12727,10582,14748,6,3,,,,5347,4020,,
Simdega,0,12,10,,,,,,,,250,5284,,
