district,doubling_of_farmers_income_by_june_24_benchmark_parameter_coverage_of_farmers_no,out_of_g_total_no_of_kcc_a_cs_no_of_a_cs_h,out_of_g_total_no_of_sf_mf_a_cs_no_of_a_cs_i,out_of_g_total_no_of_allied_activities_a_cs_no_of_a_cs_j,out_of_h_total_no_of_kcc_a_cs_total_no_of_pm_kissan_beneficiary_no_of_a_cs_k,no_of_sf_mf_accounts_financed_disbursed_during_the_year_no_of_a_cs_l,no_of_tenant_farmers_accounts_financed_disbursed_during_the_year_no_of_a_cs_m,total_no_of_sf_mf_and_tenant_farmers_accounts_financed_disbursed_during_the_year
Bokaro,85934,55580,58919,12960,55580,29946,0,29946
Chatra,21458,3125.24,10235,2954.38,,7536,2841.36,10377.36
Deoghar,119339,89161,89161,1992,89161,106486,0,106486
Dhanbad,,77473,,,,,,0
Dumka,99177,77408,99177,25703,68952,55811,0,55811
Garhwa,92345,59784,81264,8966,59784,16618,0,16618
Giridih,143588,84984,84984,41345,84984,66760,0,66760
Godda,138100,88500,90950,1000,77550,8400,0,8400
Gumla,6160,3510,5216,2059,3242,5216,0,5216
Hazaribagh,137202,88416,119590,21767,70371,1496,43,1539
Jamtara,63796,48915,29349,5881,41848,17103,0,17103
Khunti,53939,48782,46231,4983,43869,7139,95,7234
Koderma,203040,165606,161132,138813,58472,4568,3128,7696
Latehar,39438,30673,31550,394,0,14955,0,14955
Lohardaga,56281,48682,48682,8728,39954,8946,0,8946
Pakur,90395,72465,59255,93924,62610,9863,1587,11450
Palamu,153709,84906,132190,68803,84906,76859,0,76859
Ramgarh,34373,26890,0,11998,0,0,0,0
Ranchi,136473,62314,33986,1941,44584,13196,2480,15676
Sahibganj,35700,17050,28403,7010,12040,13451,9402,22853
Simdega,48232,38443,28799,9006,36330,224,0,224
