district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2379488,1804369,75.83,1709338,71.84,
Chatra,1110392,921145,82.96,740636,66.70,
Deoghar,1907143,1458874,76.50,1143411,59.95,
Dhanbad,3161683,2419580,76.53,2275996,71.99,
Dumka,1401299,972591,69.41,710404,50.70,
East Singhbhum,3132731,2298891,73.38,2124846,67.83,
Garhwa,1454880,1123311,77.21,768531,52.82,
Giridih,2647135,2173399,82.10,1935445,73.11,
Godda,1388869,1013328,72.96,754120,54.30,
Gumla,1043127,828324,79.41,781729,74.94,
Hazaribagh,2205842,1770814,80.28,1559228,70.69,
Jamtara,799303,617127,77.21,476237,59.58,
Khunti,591121,481057,81.38,472257,79.89,
Koderma,956646,798025,83.42,676059,70.67,
Latehar,842656,666508,79.10,481343,57.12,
Lohardaga,585624,490435,83.75,470519,80.34,
Pakur,976308,774650,79.34,645548,66.12,
Palamu,2235469,1737712,77.73,1195021,53.46,
Ramgarh,1163362,889741,76.48,803259,69.05,
Ranchi,4893001,3804122,77.75,3026800,61.86,
Sahibganj,1330204,1049074,78.87,790302,59.41,
Seraikela-Kharsawan,1124919,911989,81.07,794437,70.62,
Simdega,628892,520820,82.82,495003,78.71,
West Singhbhum,1642238,1289242,78.51,1150089,70.03,
