district,sponsering_bank,target_fy_2024_25_number_of_trainees_to_be_trained,performance_during_the_financial_year_2024_25_up_to_the_end_of_june_2024_number,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_7
Bokaro,BANK OF INDIA,1130,8,245,21.68,
Chatra,BANK OF INDIA,1120,7,223,100.13,
Deoghar,STATE BANK OF INDIA,1150,7,216,107.39,
Dhanbad,BANK OF INDIA,1130,7,159,106.54,
Dumka,INDIAN BANK,1120,13,388,108.25,
Garhwa,STATE BANK OF INDIA,1120,7,229,100.50,
Giridih,BANK OF INDIA,1150,6,188,107.27,
Godda,INDIAN BANK,1050,5,139,100.13,
Gumla,BANK OF INDIA,1150,8,215,100.24,
Hazaribagh,INDIAN BANK,1120,8,235,105.13,
Jamtara,STATE BANK OF INDIA,1050,9,257,106.80,
Khunti,BANK OF INDIA,1150,5,144,12.52,
Koderma,BANK OF INDIA,1100,8,219,19.91,
Latehar,STATE BANK OF INDIA,1050,9,272,106.80,
Lohardaga,BANK OF INDIA,1150,9,273,91.88,
Pakur,STATE BANK OF INDIA,1050,7,187,17.81,
Palamu,STATE BANK OF INDIA,1120,6,151,107.75,
Ramgarh,BANK OF INDIA,880,6,196,22.27,
Ranchi,RUDSETICANARA BANK,1150,6,183,100.10,
Sahibganj,STATE BANK OF INDIA,1050,8,200,112.67,
Simdega,BANK OF INDIA,1150,8,216,104.24,
