district,no_of_br,rural_deposit,as_on_30th_june_2024_[amount_in_lakh]_advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,advances,cd_ratio,col_15
Bokaro,215,418928.31,125352.21,29.92,499745.20,152858.79,30.59,1458441.79,603690.37,41.39,2377115.30,881901.37,37.10,
Chatra,65,195053.25,73290.69,37.57,258630.02,67412.93,26.07,1038.38,5743.99,553.17,454721.65,146447.61,32.21,
Deoghar,143,265170.18,100056.39,37.73,104278.55,44138.52,42.33,669751.41,262665.34,39.22,1039200.14,406860.25,39.15,
Dhanbad,300,504023.24,116455.84,23.11,422000.09,199404.99,47.25,3209969.70,1204063.24,37.51,4135993.03,1519924.07,36.75,
Dumka,116,255512.08,90189.77,35.30,330260.44,125508.27,38.00,5389.68,3152.60,58.49,591162.20,218850.64,37.02,
East Singhbhum,345,315225.93,116459.99,36.94,607330.32,193549.20,31.87,3250824.43,1938187.94,59.62,4173380.68,2248197.14,53.87,
Garhwa,97,155989.67,76280.02,48.90,208714.58,94041.09,45.06,1042.89,2142.73,205.46,365747.14,172463.85,47.15,
Giridih,174,616881.74,198675.97,32.21,52395.00,12121.14,23.13,389065.95,254319.36,65.37,1058342.70,465116.48,43.95,
Godda,101,270788.14,102839.93,37.98,279712.81,94307.83,33.72,828.20,2750.55,332.11,551329.15,199898.31,36.26,
Gumla,80,159853.47,48851.73,30.56,235452.88,79294.44,33.68,2596.32,3452.09,132.96,397902.68,131598.25,33.07,
Hazaribagh,177,419164.44,155005.48,36.98,164481.67,93695.80,56.96,752826.53,366821.77,48.73,1336472.65,615523.04,46.06,
Jamtara,68,133950.14,44833.69,33.47,179205.05,51752.30,28.88,,1438.86,,313155.19,98024.84,31.30,
Khunti,51,106475.70,46579.93,43.75,122917.12,53700.71,43.69,3460.27,2705.42,78.19,232853.09,102986.06,44.23,
Koderma,64,161739.59,54972.91,33.99,301093.52,133516.19,44.34,3087.45,8817.07,285.58,465920.57,197306.18,42.35,
Latehar,54,113373.98,49796.89,43.92,152195.92,64352.64,42.28,,2550.35,,265569.90,116699.87,43.94,
Lohardaga,46,64575.39,36165.33,56.00,147172.44,63164.69,42.92,1552.88,2149.06,138.39,213300.71,101479.07,47.58,
Pakur,60,101815.25,53516.22,52.56,169935.88,83032.66,48.86,,2613.79,,271751.13,139162.67,51.21,
Palamu,135,283657.10,135955.88,47.93,556815.48,204657.02,36.75,,8200.60,,840472.58,348813.50,41.50,
Ramgarh,118,241062.81,89336.88,37.06,722914.75,297729.63,41.18,1057.43,16332.90,1544.58,965034.99,403399.41,41.80,
Ranchi,499,640635.43,495259.10,77.31,328747.76,139175.14,42.33,8205456.57,3554705.25,43.32,9174839.76,4189139.50,45.66,
Sahibganj,77,126552.79,53279.48,42.10,262427.38,93473.53,35.62,,2485.33,,388980.17,149238.33,38.37,
Seraikela-Kharsawan,123,315778.96,178015.21,56.37,90654.34,38475.51,42.44,263752.70,236396.84,89.63,670186.00,452887.56,67.58,
Simdega,52,97870.43,26038.14,26.60,110727.37,36949.13,33.37,,1383.05,,208597.80,64370.31,30.86,
West Singhbhum,134,217955.94,90914.14,41.71,3169269.69,291474.32,9.20,102618.30,44822.69,43.68,3489843.93,427211.16,12.24,
