district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,26068,308376.90,6869,63056.75,330,45389.51,57,23010.33,3,152.46,7259,131609.05,42.68
Chatra,4934,29555.65,1908,9043.51,24,3040.12,5,27.00,,,1937,12110.64,40.98
Deoghar,17263,158608.02,4226,34085.63,205,20545.27,30,14906.92,1,0.01,4462,69537.83,43.84
Dhanbad,44938,526698.66,9373,98878.12,725,105875.45,90,26276.36,5,43.20,10193,231073.12,43.87
Dumka,9723,79126.46,2382,11931.23,142,12624.65,12,1820.81,3,150.00,2539,26526.68,33.52
East Singhbhum,43605,901782.85,10841,136962.39,1438,160675.37,306,120072.93,4,20.56,12589,417731.24,46.32
Garhwa,5656,29858.35,1333,8031.81,38,2264.29,3,152.03,1,20.00,1375,10468.13,35.06
Giridih,24837,160096.75,6428,38968.28,175,20444.47,22,3607.38,1,35.00,6626,63055.13,39.39
Godda,10010,47370.89,2229,11498.94,98,4746.73,4,1170.00,2,10.00,2333,17425.67,36.79
Gumla,3982,29255.95,1245,8280.53,49,4200.02,5,122.32,,,1299,12602.86,43.08
Hazaribagh,21264,176441.64,6404,41984.39,249,23269.40,22,4537.97,1,3.05,6676,69794.81,39.56
Jamtara,4725,17534.90,1369,5349.56,36,1360.93,1,6.00,,,1406,6716.48,38.30
Khunti,3344,19762.02,1025,5206.14,24,1721.14,1,114.23,,,1050,7041.51,35.63
Koderma,11766,65848.49,3618,20391.99,91,6245.97,9,845.41,,,3718,27483.38,41.74
Latehar,5061,21294.52,1738,7272.18,25,1799.29,3,10.64,1,50.00,1767,9132.11,42.88
Lohardaga,3816,25504.45,1277,7481.10,43,2320.30,2,768.00,,,1322,10569.40,41.44
Pakur,10263,38423.81,2046,11305.72,89,4929.55,10,1137.37,,,2145,17372.63,45.21
Palamu,10371,71500.80,2626,17384.08,113,8940.58,15,1438.76,,,2754,27763.42,38.83
Ramgarh,11125,121256.61,3652,25456.49,168,18903.96,18,4788.63,1,0.00,3839,49149.07,40.53
Ranchi,91899,1174465.77,18903,199562.89,1369,185681.14,310,112224.14,8,237.63,20590,497705.80,42.38
Sahibganj,9081,25404.85,1915,7073.90,37,780.96,10,87.66,1,0.01,1963,7942.54,31.26
Seraikela-Kharsawan,20572,196523.38,3747,26477.35,258,37464.21,65,30700.01,1,145.71,4071,94787.28,48.23
Simdega,2795,14468.42,898,5462.00,23,742.25,,,,,921,6204.25,42.88
West Singhbhum,9913,60839.87,2408,13123.11,106,5923.90,11,2245.58,,,2525,21292.59,35.00
