district,outstanding_30062024_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042024_to_30062024_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,17230,29046.02,11031,19129.76,2195,3653.42,1173,2285.31,
Chatra,12103,11300.49,6245,7025.42,1463,1538.92,618,849.01,
Deoghar,17220,17453.62,14625,13516.48,1785,2307.90,1540,1415.76,
Dhanbad,26668,65554.19,13732,20113.38,3266,9211.22,1445,2472.63,
Dumka,14171,14195.38,23061,30156.98,1609,1915.27,2366,4027.21,
East Singhbhum,20433,25259.63,46433,57662.64,2204,3280.11,4306,6327.38,
Garhwa,24381,20360.44,16415,16726.25,2506,2452.91,1232,1532.28,
Giridih,23454,19075.68,13272,12081.78,3768,3297.59,1359,1540.63,
Godda,11920,13056.45,17790,24279.41,1605,1783.35,2161,2751.16,
Gumla,6400,6280.63,28611,29079.46,471,710.31,2000,2989.42,
Hazaribagh,26166,26123.75,10779,16656.36,3711,4355.36,1399,2543.35,
Jamtara,7468,7752.28,13216,12890.18,634,841.61,1093,1253.26,
Khunti,6009,5584.41,20843,22138.60,856,751.02,1678,2194.87,
Koderma,9127,8039.57,2572,3030.46,990,1159.34,283,344.29,
Latehar,7982,10794.31,11109,15107.49,913,1272.66,1067,1449.97,
Lohardaga,3423,4039.72,16049,17864.05,333,463.74,1317,1829.71,
Pakur,5360,6113.17,14991,15423.56,752,764.96,2452,1680.91,
Palamu,39466,36087.20,23969,27349.04,4242,4179.93,1844,2363.57,
Ramgarh,11240,17655.10,12038,22602.28,2005,2807.92,1182,2605.00,
Ranchi,258763,111390.50,211298,180730.29,32519,20971.83,27286,25822.95,
Sahibganj,6787,8519.97,20323,20298.44,928,1148.75,2817,1927.54,
Seraikela-Kharsawan,27119,14017.08,47984,33174.48,3500,2179.09,5192,3922.55,
Simdega,4227,3567.86,14063,12958.05,431,363.73,1194,1418.60,
West Singhbhum,11625,14048.79,51989,59071.59,1108,1571.96,3697,5183.81,
