district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,17,32.69,157,123.33,98,72
Chatra,4,10.64,149,63.07,64,44
Deoghar,8,4.83,299,114.54,59,54
Dhanbad,9,22.49,232,208.14,152,123
Dumka,1,0.71,57,20.11,23,21
East Singhbhum,10,18.30,127,83.09,98,61
Garhwa,2,5.03,115,65.99,76,51
Giridih,15,29.75,158,97.76,103,77
Godda,23,10.61,242,88.55,79,74
Gumla,4,13.14,150,66.86,107,75
Hazaribagh,178,407.71,673,681.55,357,178
Jamtara,4,3.35,68,25.80,28,21
Khunti,6,16.31,251,81.81,137,105
Koderma,3,13.47,115,43.61,89,81
Latehar,6,6.76,321,114.24,79,63
Lohardaga,8,36.60,513,182.51,424,345
Pakur,8,25.53,171,104.68,30,21
Palamu,16,37.00,209,162.43,65,52
Ramgarh,5,22.19,248,106.53,135,99
Ranchi,85,109.16,909,480.93,234,176
Sahibganj,24,21.01,448,251.21,295,292
Seraikela-Kharsawan,10,7.17,73,75.63,58,57
Simdega,,20.24,522,70.63,480,398
West Singhbhum,9,10.03,75,58.71,14,14
