district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,44868,42477.05,11474,11552.91,27.20,20741,16330.57,4300,3700.28,22.66
Chatra,34504,26388.55,7450,6026.42,22.84,21403,13782.41,4159,2669.99,19.37
Deoghar,71208,53169.01,13486,10210.14,19.20,44875,28847.78,8957,5291.95,18.34
Dhanbad,55603,53221.32,13122,13198.10,24.80,15209,16758.15,3549,3499.02,20.88
Dumka,56927,41346.27,12076,9176.79,22.19,32486,16686.29,6098,3038.34,18.21
East Singhbhum,68099,65411.51,12713,15605.74,23.86,34864,28565.36,5588,5062.53,17.72
Garhwa,67270,67381.02,10548,11083.57,16.45,29319,26077.98,4691,4640.21,17.79
Giridih,76142,59449.31,17442,12880.17,21.67,26230,18295.08,6096,3937.28,21.52
Godda,51914,41999.41,14696,9528.90,22.69,28249,20754.18,9383,4836.45,23.30
Gumla,22750,22246.35,3346,2990.21,13.44,16125,11634.51,1990,1360.06,11.69
Hazaribagh,68216,62151.18,16191,15780.52,25.39,28960,22334.94,7018,5535.27,24.78
Jamtara,30801,23668.14,6921,5004.66,21.15,24565,16470.41,4931,2760.38,16.76
Khunti,21005,14730.18,3795,3356.03,22.78,9952,6166.32,1928,993.33,16.11
Koderma,26303,20328.72,6362,4738.11,23.31,9626,5830.88,1845,1109.34,19.03
Latehar,23295,23880.50,4568,3853.95,16.14,15153,11464.50,2764,1786.65,15.58
Lohardaga,14402,13182.50,2597,2554.40,19.38,9831,8211.95,1751,1660.69,20.22
Pakur,26237,21707.82,8641,5233.06,24.11,12542,8936.78,4660,2359.07,26.40
Palamu,97936,91977.51,14479,13446.05,14.62,42763,38656.55,5816,5214.87,13.49
Ramgarh,30168,22232.32,7352,6139.81,27.62,10477,6367.88,2176,1211.12,19.02
Ranchi,659237,324201.77,141986,74871.87,23.09,33063,28062.10,7971,6424.18,22.89
Sahibganj,38834,35934.20,9074,6925.65,19.27,21462,17347.53,5015,2223.98,12.82
Seraikela-Kharsawan,87127,49746.31,17497,10486.39,21.08,21167,13019.43,3307,2088.42,16.04
Simdega,12357,11349.10,2128,1725.28,15.20,7580,4390.25,1226,673.53,15.34
West Singhbhum,38416,31820.08,6101,6389.84,20.08,27459,15008.31,3379,1804.64,12.02
