district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,178,5992.82,2,114.31,6,164.14,174,5943.00
Chatra,51,1308.62,3,76.15,41,1015.10,13,369.67
Deoghar,22,3503.16,3,280.75,2,129.85,23,3654.10
Dhanbad,305,11614.49,19,838.99,3,89.81,321,12363.67
Dumka,4,158.24,0,0.00,0,0.00,4,158.24
East Singhbhum,850,40325.00,37,1804.00,7,172.00,880,41943.56
Garhwa,4,74.94,0,0.00,0,0.00,4,74.94
Giridih,21,692.03,2,0.94,0,0.00,23,692.97
Godda,11,214.24,1,25.44,1,21.27,11,218.41
Gumla,11,1250.56,0,0.00,0,0.00,9,307.24
Hazaribagh,133,4661.55,8,180.87,64,1852.91,77,2989.70
Jamtara,0,0.00,0,0.00,0,0.00,0,0.00
Khunti,8,412.65,0,0.00,0,0.00,7,300.44
Koderma,57,1367.09,3,86.95,31,747.80,29,706.24
Latehar,0,0.00,0,0.00,0,0.00,0,0.00
Lohardaga,33,1114.05,0,0.00,0,0.00,33,1114.77
Pakur,5,153.77,1,21.48,0,0.00,6,175.25
Palamu,13,188.78,0,0.00,0,0.00,13,188.78
Ramgarh,150,5875.37,4,106.48,106,4073.45,58,1908.40
Ranchi,1801,119541.91,42,1781.91,22,675.28,1837,109045.24
Sahibganj,5,102.67,0,0.00,0,0.00,5,102.67
Seraikela-Kharsawan,118,2533.49,5,538.29,5,80.00,118,2991.78
Simdega,2,35.81,0,0.00,0,0.00,2,35.81
West Singhbhum,86,1373.67,1,56.60,2,43.45,85,1386.82
