district,as_on_30th_june_2024_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt,col_16
Bokaro,688,284.24,97,1953.00,4159,72221.10,31406,79920.04,110178,321801.70,146528,476180.07,319554,881901.37,
Chatra,269,433.27,,,186,3196.61,5144,15972.87,15145,35971.90,20744,55574.65,109548,146447.61,
Deoghar,46,463.52,50,1101.92,1722,33781.73,13171,28111.84,46319,114564.22,61308,178023.23,217908,406860.25,
Dhanbad,665,449.56,115,2144.41,7116,83016.91,52284,156780.85,173708,599068.65,233888,841460.38,485037,1519924.07,
Dumka,80,220.23,5,110.08,317,6810.91,6192,13424.23,27752,70942.55,34346,91508.01,160232,218850.64,
East Singhbhum,684,642.75,1159,27164.25,13668,238978.79,65800,145376.06,274084,830216.44,355395,1242378.28,627520,2248197.14,
Garhwa,519,138.30,4,55.25,174,2806.60,5226,11552.52,17841,43899.80,23764,58452.47,146070,172463.85,
Giridih,153,404.72,20,327.36,909,17747.53,14921,28594.14,53076,155116.00,69079,202189.75,290455,465116.48,
Godda,181,328.72,5,69.26,311,4456.48,5082,10472.94,22928,68496.16,28507,83823.56,144032,199898.31,
Gumla,142,439.40,3,68.81,228,5078.30,4258,9469.07,12684,37478.27,17315,52533.85,96451,131598.25,
Hazaribagh,214,384.67,46,976.75,2279,38060.48,19030,48808.50,78774,179244.16,100343,267474.56,297381,615523.04,
Jamtara,3,1.40,5,81.37,225,2639.94,3331,5328.39,12026,32332.25,15590,40383.34,82205,98024.84,
Khunti,24,20.71,4,72.31,208,4312.41,2871,6340.97,12614,41720.86,15721,52467.26,66969,102986.06,
Koderma,31,44.24,9,231.15,373,7007.11,6037,11540.99,25918,57303.77,32368,76127.26,121565,197306.18,
Latehar,57,347.75,2,29.75,116,2482.67,3300,9339.74,12458,44077.47,15933,56277.38,68335,116699.87,
Lohardaga,41,118.82,3,52.54,213,4354.33,2414,6287.35,12143,29602.54,14814,40415.58,68741,101479.07,
Pakur,,,3,33.27,335,5393.39,2378,4524.06,28411,41499.63,31127,51450.34,112223,139162.67,
Palamu,223,218.65,9,135.77,547,10819.69,11258,22334.90,45528,116876.02,57565,150385.04,249257,348813.50,
Ramgarh,68,103.66,25,653.59,1406,27832.95,15962,52747.84,45963,150885.64,63424,232223.67,155450,403399.41,
Ranchi,398,25994.93,746,14366.34,19610,432245.17,83786,233916.54,367753,1802052.09,472293,2508575.06,1806036,4189139.50,
Sahibganj,160,424.83,2,10.72,255,3369.22,4792,9524.76,22278,47637.02,27487,60966.55,119636,149238.33,
Seraikela-Kharsawan,51,61.02,61,953.53,1778,30864.08,12887,26000.91,39628,129175.77,54405,187055.32,264783,452887.56,
Simdega,19,60.85,4,38.41,93,1618.72,2327,5800.54,8304,17985.79,10747,25504.31,50993,64370.31,
West Singhbhum,138,241.69,28,429.36,815,14469.15,10815,25184.44,35282,229436.85,47078,269761.49,169614,427211.16,
