district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,57007,366465,28,27.40,20,127.76,403,4618.97,2122,11158.77,19191,131252.04,21764,147184.94,40.16
Chatra,8429,30945,,,,,19,311.63,363,1931.43,2557,6667.99,2939,8911.05,28.80
Deoghar,23842,96274,12,10.74,12,94.12,155,2506.42,808,4343.69,7712,18741.12,8699,25696.08,26.69
Dhanbad,102690,493551,16,53.30,23,129.37,548,7283.74,3612,24381.30,30642,138738.05,34841,170585.76,34.56
Dumka,13137,48278,13,5.27,1,3.27,24,288.13,353,1502.59,3961,11590.09,4352,13389.36,27.73
East Singhbhum,184191,953352,28,117.41,370,2996.76,1207,16560.18,4800,21291.67,62801,344825.86,69206,385791.88,40.47
Garhwa,10043,32730,1,2.00,,,21,264.43,354,1392.88,2987,8126.43,3363,9785.73,29.90
Giridih,30360,140239,26,28.25,3,13.15,96,1225.82,1031,4330.20,8881,49835.07,10037,55432.49,39.53
Godda,11892,44227,9,8.65,2,6.42,31,404.31,301,1402.59,3940,13231.74,4283,15053.71,34.04
Gumla,6919,26243,3,1.96,,,23,438.94,244,1024.35,1959,6095.94,2229,7561.17,28.81
Hazaribagh,44445,154203,5,2.63,10,59.34,192,2583.97,1252,6542.44,13870,35446.29,15329,44634.66,28.95
Jamtara,6679,23087,2,2.16,,2.55,8,15.18,193,676.71,2202,5577.01,2405,6273.61,27.17
Khunti,5540,25527,7,4.79,1,30.00,11,99.29,130,542.84,1696,6073.72,1845,6750.64,26.44
Koderma,14732,48870,,,1,26.27,40,399.01,319,1519.47,4405,14727.96,4765,16672.70,34.12
Latehar,9049,30209,8,35.41,,,10,171.50,195,1092.45,2348,6750.56,2561,8049.92,26.65
Lohardaga,5470,19622,9,4.29,,,18,112.59,162,804.84,1789,4618.46,1978,5540.19,28.23
Pakur,14104,28788,1,1.50,1,10.82,24,507.35,145,590.32,3826,7487.33,3997,8597.32,29.86
Palamu,24672,78864,,,2,8.33,43,648.36,657,2642.02,7549,19561.21,8251,22859.92,28.99
Ramgarh,23000,124334,3,22.95,7,59.23,123,1649.35,979,7122.87,7438,43272.55,8550,52126.95,41.92
Ranchi,249859,2401988,40,19377.42,194,1188.82,1648,27800.64,5733,30632.18,76132,716902.65,83747,795901.72,33.14
Sahibganj,10166,33944,1,0.04,1,3.57,21,182.10,283,1049.71,3258,7835.32,3564,9070.74,26.72
Seraikela-Kharsawan,26083,96738,1,0.03,6,40.30,154,2033.74,764,3319.73,6922,59424.36,7847,64818.15,67.00
Simdega,3744,12822,1,3.00,1,10.00,9,49.56,111,503.51,1197,3191.63,1319,3757.71,29.31
West Singhbhum,16729,318699,3,7.81,6,31.38,56,807.62,789,3069.45,4836,219797.06,5690,223713.31,70.20
