district,pmjjby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,pmsby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,apy_enrollments_target_for_fy_2023_24,total_subscriber_from_01042023_to_31032024,total_subscribers_since_inception
Bokaro,227262,1793572,138423,630853,2457278,517132,17990,3402,99655
Chatra,186220,713225,109497,364285,917098,310726,5020,3908,64026
Deoghar,215070,797845,139529,606399,1215776,482318,11120,5259,129188
Dhanbad,286552,2298656,157463,771525,3170902,613028,22585,3490,116286
Dumka,218218,562075,151674,519685,905624,451588,9705,4456,93682
Garhwa,138523,583881,91857,342667,807176,291024,6880,3047,60419
Giridih,343109,1851949,188554,738427,2436309,590439,13750,7207,135358
Godda,182181,583228,124056,461673,911889,392213,8800,4963,104535
Gumla,158913,742924,89368,337263,959710,277548,5690,2416,63166
Hazaribagh,283356,1590111,175250,636149,2079164,531230,14700,5499,117419
Jamtara,112189,392981,74799,292118,593038,248296,5605,2651,57948
Khunti,76588,426829,43266,172419,544148,134106,3230,1498,31071
Koderma,102733,653634,64836,258982,857715,219793,5080,1916,40113
Latehar,100490,388698,71323,253653,551076,210331,3695,2080,47232
Lohardaga,77371,504464,41773,170386,639487,137065,3765,1071,32480
Pakur,111393,405006,69864,356148,616724,300210,4820,4888,89444
Palamu,232469,921597,161163,571356,1340653,489903,10915,4780,93450
Ramgarh,131662,851956,78165,320937,1132695,252073,8435,1531,44735
Ranchi,420791,3133845,236041,1028539,4056719,736752,38895,6477,218442
Sahibganj,158706,489975,100983,447467,798043,382866,6575,4587,94186
Seraikela-Kharsawan,132433,870628,68005,322925,1129518,207029,8965,1837,57547
Simdega,103114,459258,59186,200846,594631,153988,3675,1293,29533
West Singhbhum,197833,1166273,102147,425305,1512945,283038,11620,2975,81917
