district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities,limited_services_[eg_only_aeps_receipt_and_payment]
Bokaro,6341,1101,5240,4806,434,2819,2421,745,4495,1086,4154
Chatra,6450,1052,5398,4917,481,2101,3297,774,4624,640,4758
Deoghar,6841,998,5843,5487,356,2522,3321,539,5304,800,5043
Dhanbad,7077,1074,6003,5552,451,3291,2712,1391,4612,1372,4631
Dumka,4436,554,3882,3557,325,2445,1437,660,3222,838,3044
East Singhbhum,4665,825,3840,3451,389,2228,1612,688,3152,1024,2816
Garhwa,11397,2455,8942,8357,585,3938,5004,1132,7810,759,8183
Giridih,13754,2496,11258,10236,1022,7197,4061,1094,10164,1472,9786
Godda,7540,1638,5902,5412,490,3218,2684,1068,4834,667,5235
Gumla,3523,550,2973,2606,367,1653,1320,550,2423,558,2415
Hazaribagh,6861,1332,5529,4920,609,3325,2204,1024,4505,917,4612
Jamtara,2043,298,1745,1653,92,910,835,233,1512,344,1401
Khunti,1900,317,1583,1353,230,854,729,310,1273,332,1251
Koderma,3009,505,2504,2244,260,1269,1235,413,2091,383,2121
Latehar,5166,1021,4145,3870,275,1502,2643,542,3603,430,3715
Lohardaga,2717,419,2298,2072,226,898,1400,294,2004,265,2033
Pakur,3605,721,2884,2671,213,1574,1310,578,2306,517,2367
Palamu,10940,2077,8863,8100,763,5254,3609,1194,7669,1097,7766
Ramgarh,3467,530,2937,2563,374,1886,1051,558,2379,541,2396
Ranchi,7971,1259,6712,5990,722,4081,2631,1166,5546,1418,5294
Sahibganj,5089,1295,3794,3503,291,2667,1127,868,2926,640,3154
Seraikela-Kharsawan,2845,528,2317,2095,222,1075,1242,288,2029,446,1871
Simdega,2386,359,2027,1781,246,1038,989,446,1581,323,1704
West Singhbhum,4701,936,3765,3303,462,2324,1441,872,2893,749,3016
