district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount
Bokaro,7816,2729.61,5105,5463.81,553,3390.76,13474,11584.19
Chatra,2879,995.53,1736,1776.32,178,924.92,4793,3696.77
Deoghar,3872,1395.40,3642,4686.98,687,3864.92,8201,9947.31
Dhanbad,13792,4960.87,7709,8329.03,891,5464.44,22392,18754.34
Dumka,6221,1971.68,3868,3856.98,309,1605.78,10398,7434.44
East Singhbhum,14281,4858.10,7606,8068.00,845,4984.11,22732,17910.21
Garhwa,7844,2790.78,3877,3846.66,329,1734.13,12050,8371.57
Giridih,24708,8310.83,11932,10688.07,571,3459.90,37211,22458.80
Godda,8233,2739.99,4827,4898.90,377,2076.53,13437,9715.42
Gumla,6177,1927.83,2175,1839.01,117,709.20,8469,4476.03
Hazaribagh,9210,3159.33,6599,6657.62,632,3500.40,16441,13317.35
Jamtara,891,272.22,698,1112.58,150,920.61,1739,2305.40
Khunti,1313,402.87,665,809.43,99,497.38,2077,1709.68
Koderma,4598,1665.33,3983,3703.33,225,1288.27,8806,6656.93
Latehar,3453,1146.22,2186,2181.28,288,1504.68,5927,4832.18
Lohardaga,1681,569.29,1011,1080.73,112,633.57,2804,2283.59
Pakur,13023,4120.10,6156,5282.47,211,1182.66,19390,10585.22
Palamu,10704,3771.01,7266,7346.44,589,3355.89,18559,14473.34
Ramgarh,5773,1930.65,4093,3993.65,310,1756.09,10176,7680.39
Ranchi,16517,6008.86,11353,12619.29,1643,9524.36,29513,28152.50
Sahibganj,9308,3064.72,4889,4852.21,373,2148.22,14570,10065.15
Seraikela-Kharsawan,3498,1201.29,1769,1969.64,131,789.72,5398,3960.65
Simdega,722,255.09,395,473.45,71,370.43,1188,1098.97
West Singhbhum,4306,1443.18,1889,2203.76,210,1232.68,6405,4879.62
