district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_ns_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1980,3887.44,32756,28591.64,1000,864.47,422,1403.91,2,0.41,163,1661.18,36323,36409.04,
Chatra,2470,2960.50,7070,6957.74,4,5.58,64,148.88,3,14.93,22,89.72,9633,10177.35,
Deoghar,5502,5137.92,31956,17161.93,155,247.24,321,288.34,14,66.84,27,45.86,37975,22948.13,
Dhanbad,1864,4119.85,180611,58536.22,1314,683.01,1717,6657.95,10,0.77,99,1084.79,185615,71082.59,
Dumka,5897,7147.27,10686,9316.68,44,58.88,47,61.03,5,17.84,15,6.60,16694,16608.31,
East Singhbhum,5594,11100.28,78476,52863.14,1378,1463.91,6622,20772.41,46,39.52,101,768.83,92217,87008.09,
Garhwa,6343,7908.18,16638,8821.80,23,9.36,32,37.71,,,27,12.91,23063,16789.96,
Giridih,3410,3519.26,64988,32702.99,85,171.90,133,1774.44,3,0.82,109,309.43,68728,38478.83,
Godda,4171,4503.19,14850,15277.00,45,34.68,101,74.14,,,15,7.05,19182,19896.07,
Gumla,7392,8066.38,7328,6008.19,6,6.30,75,238.90,1,0.21,7,33.83,14809,14353.82,
Hazaribagh,3739,5850.49,64424,35288.93,341,255.77,248,1444.05,16,26.00,154,554.08,68922,43419.32,
Jamtara,3529,3025.81,11035,7629.21,8,2.71,21,78.90,,,12,22.17,14605,10758.80,
Khunti,5073,5918.09,2294,2736.03,69,61.37,83,191.05,4,7.48,20,104.28,7543,9018.30,
Koderma,591,1153.16,35397,8957.90,16,11.73,126,785.86,1,0.44,57,200.19,36188,11109.28,
Latehar,3198,5267.36,5943,5761.48,20,21.43,20,65.98,,,14,65.51,9195,11181.75,
Lohardaga,1669,2870.31,13551,10728.70,7,20.13,18,19.19,1,8.73,22,14.12,15268,13661.18,
Pakur,2815,3264.16,35992,27701.01,3,2.64,97,177.98,3,8.63,6,3.95,38916,31158.38,
Palamu,9544,12182.83,20272,14634.62,23,20.16,58,266.66,4,2.48,48,126.28,29949,27233.03,
Ramgarh,1011,2661.99,12488,17407.76,119,170.42,450,2126.34,1,0.33,52,374.27,14121,22741.11,
Ranchi,37519,58468.56,392267,164630.36,1640,1901.09,1220,8467.42,25,17.81,322,4499.82,432993,237985.05,
Sahibganj,3666,4281.66,19481,17440.30,63,213.09,95,79.04,1,0.46,16,12.66,23322,22027.21,
Seraikela-Kharsawan,3120,3499.20,22973,9849.63,115,224.95,340,697.54,3,120.07,30,15.54,26581,14406.93,
Simdega,10508,10505.86,2179,2307.52,5,1.32,27,29.55,,,13,36.13,12732,12880.38,
West Singhbhum,6602,7406.95,7925,9529.52,208,474.10,539,2300.89,15,37.28,78,145.51,15367,19894.27,
