district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,106817,131880.70,49005,16617.26,16275,18634.83,
Chatra,32254,28411.10,18019,7953.63,5916,5218.67,
Deoghar,66584,61831.32,28656,12561.37,11534,10563.27,
Dhanbad,180145,192917.83,67188,27504.44,26464,28291.70,
Dumka,57540,40964.60,42600,16607.01,9476,6778.55,
East Singhbhum,200459,296492.35,79652,36455.82,35413,43326.87,
Garhwa,61534,34464.17,43806,19873.10,7262,5323.34,
Giridih,124699,84579.13,79334,31018.94,20291,14876.92,
Godda,52249,36943.11,35791,15826.39,8441,6296.46,
Gumla,26318,29751.86,12300,5445.07,4844,5051.65,
Hazaribagh,104376,101747.57,47533,23497.89,15512,15757.28,
Jamtara,16883,14800.85,11052,5213.98,2734,2097.31,
Khunti,24187,21934.71,16452,6002.60,3359,4472.42,
Koderma,51562,44759.88,22646,8741.52,7387,7369.28,
Latehar,16485,14821.97,11181,5198.34,2100,1895.67,
Lohardaga,20209,24310.58,11105,4684.48,3894,3993.56,
Pakur,51905,29114.28,38914,13897.47,10065,6127.80,
Palamu,104892,69251.55,68223,33297.92,12887,10093.30,
Ramgarh,57365,64869.99,33569,13443.51,9588,10208.69,
Ranchi,229675,512619.97,88476,40847.79,35646,64092.72,
Sahibganj,53893,34116.68,36333,17439.92,8582,5528.79,
Seraikela-Kharsawan,52082,55536.76,25437,15156.95,7885,8747.37,
Simdega,16844,16850.21,9704,3738.31,3570,3546.87,
West Singhbhum,53874,56067.80,29153,13930.98,9464,8343.55,
