district,outstanding_as_of_last_fy_2023_24_no,amt,total_disbursment_during_this_current_afy_no,amt,outstanding_at_the_end_of_reporting_quarter_no,amt,npa_at_the_end_of_reporting_quarter_no,amt,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_no",kcc_card_activated_no,col_12
Bokaro,54420,31342,4300,3700,52490,30130,16042,6787,25559,13895,
Chatra,56100,29305,4159,2670,54993,31146,19057,9380,23283,15579,
Deoghar,87770,43927,8957,5292,88069,49292,19695,7753,47473,34557,
Dhanbad,45123,26121,3549,3499,44569,27401,16571,6885,16179,8097,
Dumka,67624,28868,6098,3038,67561,31003,13153,4293,40674,27054,
East Singhbhum,78498,43538,5588,5063,77543,45624,19156,7674,41696,25966,
Garhwa,60159,48557,4691,4640,58111,50399,9467,5002,38766,33536,
Giridih,85711,43065,6096,3937,84509,46237,26087,11406,34944,17951,
Godda,60878,35848,9383,4836,61843,40164,14234,7076,34713,23635,
Gumla,54544,25400,1990,1360,53566,27274,23668,9602,20389,13343,
Hazaribagh,78662,48979,7018,5535,77372,51765,26854,16499,28840,15940,
Jamtara,48092,25419,4931,2760,49890,28859,7564,2619,30897,21781,
Khunti,26923,12707,1928,993,27669,14051,7586,3263,12385,5457,
Koderma,31483,16646,1845,1109,29978,16789,13179,6825,10125,5435,
Latehar,31351,21276,2764,1787,31029,22660,3825,1598,19894,14424,
Lohardaga,34057,18609,1751,1661,33534,19531,14550,7065,13769,8555,
Pakur,29771,19721,4660,2359,30872,20679,9060,4273,13304,9310,
Palamu,86882,64911,5816,5215,83650,69771,18070,10275,53283,47647,
Ramgarh,27206,15743,2176,1211,26419,15047,7468,3373,8752,5682,
Ranchi,96440,60893,7971,6424,95592,65249,27174,13597,39190,22761,
Sahibganj,43102,28931,5015,2224,41475,30073,10247,6172,17903,12907,
Seraikela-Kharsawan,57522,31696,3307,2088,57564,34262,14991,7151,31178,20117,
Simdega,22582,9346,1226,674,22409,10210,8233,3455,9519,5337,
West Singhbhum,70389,42062,3379,1805,70773,45121,16395,7709,39539,25482,
