district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,9113,21211,261,7055.78,468,487.83,8910,27802.21
Chatra,210,477.82,32,78.4,38,90.17,204,466.05
Deoghar,4266,6126.98,28,48.45,37,97.05,4258,6079.8
Dhanbad,4248,7200.75,130,222.42,59,131.04,4319,7292.13
Dumka,471,429.17,29,41.04,2,5,498,465.21
East Singhbhum,1308,3354.19,77,435.01,12,29.72,1373,3759.48
Garhwa,356,183.56,6,12.6,15,8.6,347,187.56
Giridih,9798,8480.09,70,2809.06,380,200.37,9488,11088.78
Godda,1202,770.77,212,159.13,16,27.02,1398,902.88
Gumla,173,1314.77,13,65.86,0,0,188,1381.83
Hazaribagh,1244,4531.12,92,361.27,94,189.71,1242,4702.68
Jamtara,426,463.37,67,50.3,37,23.52,456,490.15
Khunti,46,391.13,2,4.21,0,0,48,395.34
Koderma,85,364.22,16,76.31,22,100.96,79,339.57
Latehar,168,138.51,2,5.78,0,0,170,144.3
Lohardaga,51,798.43,7,47.16,0,0,58,845.59
Pakur,1327,1093.63,108,61.26,24,30.04,1411,1124.85
Palamu,1261,1089.83,3,14,6,3.6,1258,1100.23
Ramgarh,632,1211.76,54,117.67,72,191.81,614,1137.62
Ranchi,2310,46978.14,128,789.5,17,462.85,2421,47283.794
Sahibganj,1126,1252.04,36,31.53,28,23.65,1134,1259.92
Seraikela-Kharsawan,321,1080.01,17,83.26,0,0,338,1163.27
Simdega,57,140.72,0,0,0,0,57,140.72
West Singhbhum,412,1593.03,6,18.69,0,0,418,1611.72
