district,branches_as_on_30062024_rural,semi_urban,urban,total,atms_as_on_30062024_rural,semi_urban,urban,total,as_on_31032024_branch,atms,difference_branch,atms
Bokaro,76,51,88,215,30,53,161,244,215,240,0,4
Chatra,43,22,0,65,10,20,10,40,65,39,0,1
Deoghar,69,26,48,143,11,22,104,137,142,136,1,1
Dhanbad,73,53,174,300,32,63,312,407,300,409,0,-2
Dumka,82,33,1,116,19,59,5,83,116,86,0,-3
East Singhbhum,90,63,192,345,28,71,421,520,343,526,2,-6
Garhwa,64,33,0,97,13,48,2,63,94,61,3,2
Giridih,127,9,38,174,38,18,70,126,171,125,3,1
Godda,72,29,0,101,22,44,1,67,102,68,-1,-1
Gumla,52,28,0,80,9,38,3,50,80,50,0,0
Hazaribagh,90,28,59,177,41,40,118,199,175,201,2,-2
Jamtara,40,28,0,68,8,30,2,40,68,42,0,-2
Khunti,30,21,0,51,8,36,16,60,50,61,1,-1
Koderma,31,33,0,64,7,44,0,51,64,52,0,-1
Latehar,25,29,0,54,11,31,1,43,53,41,1,2
Lohardaga,24,22,0,46,5,28,2,35,45,35,1,0
Pakur,38,22,0,60,11,26,0,37,60,37,0,0
Palamu,81,54,0,135,12,90,1,103,135,102,0,1
Ramgarh,47,70,1,118,30,92,5,127,118,128,0,-1
Ranchi,145,42,312,499,79,42,616,737,498,731,1,6
Sahibganj,41,36,0,77,10,30,3,43,77,40,0,3
Seraikela-Kharsawan,78,19,26,123,26,18,48,92,123,90,0,2
Simdega,31,21,0,52,3,14,3,20,52,21,0,-1
West Singhbhum,74,60,0,134,20,63,21,104,134,99,0,5
