district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,89050,14960.35,13906,1951.14,49073,38769.78,6202,6193.72,3633,20020.12,661,3437.44,141756,73750,20769,11582
Chatra,25492,4602.57,2885,510.91,12667,10521.43,1716,1864.09,1255,6690.12,173,986.41,39414,21814,4774,3361
Deoghar,29573,6247.35,2697,778.34,23020,21621.02,2710,2930.92,1912,11751.36,222,1126.84,54505,39620,5629,4836
Dhanbad,154845,28254.47,18576,2441.00,72006,52231.44,6284,5712.18,4496,26838.89,692,3293.56,231347,107325,25552,11447
Dumka,41477,9171.42,5727,1043.16,22289,15879.56,2543,1971.13,931,4928.78,158,564.78,64697,29980,8428,3579
East Singhbhum,117444,22075.01,10338,1944.18,71741,54416.73,7160,6964.50,5117,30196.41,743,3991.30,194302,106688,18241,12900
Garhwa,60419,11962.19,7805,1188.12,28979,16843.70,2564,1509.68,989,5846.31,84,385.81,90387,34652,10453,3084
Giridih,185499,33762.29,13826,1841.86,93343,59052.57,5444,5263.44,2960,17161.07,383,2128.16,281802,109976,19653,9233
Godda,62165,11796.54,7333,1095.75,35446,23585.57,3162,2699.05,1246,6957.49,174,775.84,98857,42340,10669,4571
Gumla,37823,6433.05,1595,282.87,11146,8562.18,1011,1152.23,910,4853.48,128,635.93,49879,19849,2734,2071
Hazaribagh,79790,15191.50,7665,1238.19,51609,39941.98,5076,5485.83,3650,20643.97,570,2864.90,135049,75777,13311,9589
Jamtara,6874,994.95,951,178.64,4452,5685.35,811,975.40,422,2442.95,47,214.10,11748,9123,1809,1368
Khunti,11925,1694.87,767,202.15,6418,5828.77,602,763.79,520,2938.98,52,290.09,18863,10463,1421,1256
Koderma,45973,8157.30,5045,615.15,32205,21957.54,2431,2144.21,1512,8770.11,231,1186.19,79690,38885,7707,3946
Latehar,26365,4747.03,2184,366.62,13637,8648.82,915,661.95,643,3791.67,54,220.89,40645,17188,3153,1249
Lohardaga,14737,2288.29,846,171.56,7670,7501.65,963,1335.64,879,4730.19,133,679.85,23286,14520,1942,2187
Pakur,78205,13824.09,5916,792.24,43224,23659.39,2265,1336.48,1045,4330.96,84,331.09,122474,41814,8265,2460
Palamu,83273,17031.55,6473,1397.09,51012,31583.96,3561,3249.28,1991,11519.32,324,1536.87,136276,60135,10358,6183
Ramgarh,53380,9174.44,6414,978.12,34012,25291.99,3136,3121.72,1874,10809.38,264,1511.19,89266,45276,9814,5611
Ranchi,124010,24815.62,11871,2030.61,98279,82086.54,9645,10281.52,9835,54907.95,1430,8096.30,232124,161810,22946,20408
Sahibganj,65801,11861.25,6082,790.82,36467,22358.02,2795,1724.79,1299,7217.95,146,665.97,103567,41437,9023,3182
Seraikela-Kharsawan,32860,5270.43,4055,451.17,17802,16748.05,1872,1992.88,1213,7096.67,171,964.93,51875,29115,6098,3409
Simdega,7346,940.84,594,112.28,3612,4061.15,546,740.48,502,2928.69,64,412.88,11460,7931,1204,1266
West Singhbhum,38554,6305.92,3859,584.58,23004,22040.89,2226,2375.41,1371,8325.49,206,1058.27,62929,36672,6291,4018
