district,target_for_fy_2024_25_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2024_25_till_30th_june_2024_no,amount,education_loan_outstanding_as_on_30th_june_2024_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1545,3520,154,154,1023.99,59,495.85,424,691.93,3283,13430.32,1004,4495.60,
Chatra,78,175,3,3,10.17,2,8.86,15,17.75,238,721.08,38,127.07,
Deoghar,495,1378,51,51,335.70,18,122.51,149,293.97,1153,5178.31,310,1666.49,
Dhanbad,2339,4640,233,233,1263.37,75,313.08,970,10522.44,5278,19552.78,1371,5731.33,
Dumka,80,182,4,4,9.97,2,2.81,21,27.99,261,970.97,75,273.03,
East Singhbhum,3474,13687,503,503,4780.03,217,1916.61,1223,5067.95,8712,59815.15,3138,20964.21,
Garhwa,125,296,11,11,50.44,4,13.05,25,24.32,286,893.32,64,198.96,
Giridih,394,843,47,47,141.71,10,30.94,110,140.92,1063,3537.55,231,925.44,
Godda,163,312,14,14,72.69,7,26.51,45,56.18,420,1383.31,113,382.06,
Gumla,316,565,11,11,68.51,7,58.21,29,40.78,545,1045.64,379,498.78,
Hazaribagh,602,1639,52,52,344.07,18,141.84,140,281.77,1425,5940.48,343,1618.11,
Jamtara,330,455,23,23,47.97,19,38.21,33,42.46,423,870.52,289,451.74,
Khunti,72,165,6,6,88.40,3,61.34,17,48.74,176,620.83,65,239.14,
Koderma,254,558,21,21,84.76,7,20.84,62,83.68,544,1993.70,128,494.14,
Latehar,121,204,22,22,61.24,17,42.36,28,46.45,220,575.33,104,211.80,
Lohardaga,67,126,8,8,118.25,2,6.90,18,17.60,217,785.38,72,260.00,
Pakur,90,149,6,6,42.99,2,12.40,17,37.13,139,361.45,69,98.16,
Palamu,288,581,42,42,178.41,15,91.38,86,131.61,781,2659.15,182,673.97,
Ramgarh,406,1133,55,55,361.90,21,121.34,121,217.98,1083,4166.34,326,1487.45,
Ranchi,5186,16367,563,563,5077.86,225,1982.34,1191,3805.57,12392,64107.11,4705,21934.56,
Sahibganj,280,426,15,15,54.90,3,13.84,33,49.60,568,1154.94,341,439.51,
Seraikela-Kharsawan,1014,1602,49,49,228.97,16,99.49,154,203.89,2080,6708.87,586,1670.52,
Simdega,43,175,9,9,45.47,6,30.18,15,39.65,140,393.64,69,150.79,
West Singhbhum,589,1412,28,28,197.83,11,55.97,118,222.41,1554,6369.68,742,2214.59,
