district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,amt,other_psl_no,amt,total_psl_npa_no,amt,col_14
Bokaro,18316,9747,66,629,228,645,11409,34303,3724,641,33743,45964.36,
Chatra,20898,10619,13,80,67,130,2823,5570,193,44,23994,16442.19,
Deoghar,24506,10742,42,85,123,300,5369,7528,686,152,30726,18807.25,
Dhanbad,21266,12108,174,1139,390,992,11970,24535,5512,836,39312,39610.28,
Dumka,14831,5655,9,29,31,71,3415,3082,900,141,19186,8978.26,
East Singhbhum,21765,13112,247,1772,438,993,14490,47594,1831,354,38771,63824.48,
Garhwa,10985,6718,7,45,35,97,1476,1793,727,233,13230,8885.77,
Giridih,29550,14693,26,56,202,511,7602,11514,1368,225,38748,26998.12,
Godda,16068,8933,7,49,42,120,3338,3924,326,93,19781,13118.95,
Gumla,25786,11125,23,118,72,148,2684,3720,130,20,28695,15131.25,
Hazaribagh,31019,20682,132,773,212,599,7935,17927,1394,248,40692,40227.61,
Jamtara,8111,3089,5,20,19,58,1616,1646,47,6,9798,4818.64,
Khunti,8611,4022,7,48,25,64,1505,2043,103,19,10251,6195.68,
Koderma,14736,7891,60,326,71,163,3614,8320,1067,82,19548,16782.39,
Latehar,4307,2227,11,87,18,46,877,1135,234,54,5447,3548.69,
Lohardaga,15730,8418,13,92,57,174,1973,3761,17,3,17790,12447.33,
Pakur,9894,5575,4,9,16,43,1919,2034,256,36,12089,7698.02,
Palamu,21503,12782,17,97,135,435,4801,6393,762,292,27218,19999.48,
Ramgarh,9651,4881,28,94,86,254,5744,13634,1829,303,17338,19165.83,
Ranchi,35328,29363,219,2020,800,2310,18999,111104,1689,940,57035,145736.88,
Sahibganj,11684,7740,8,37,66,157,2815,2949,538,139,15111,11023.01,
Seraikela-Kharsawan,16889,9264,27,68,87,250,4727,9180,470,88,22200,18850.28,
Simdega,10347,4633,5,21,36,102,1642,2175,77,35,12107,6965.33,
West Singhbhum,19019,10962,45,301,132,326,4937,9431,547,130,24680,21150.27,
