district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2024_25_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,77,25.16,261,798.48,645,353.86,1019,2206.99,22381,45292.73,617,392.65,5672,4660.69,42962,25082.98,
Chatra,34,27.76,233,787.47,129,41.30,334,899.65,15468,30406.15,608,431.28,1786,2007.12,13979,9632.96,
Deoghar,65,29.14,132,196.00,874,870.34,1818,3193.48,12255,19404.21,1243,1171.92,8365,2002.51,22172,12210.83,
Dhanbad,105,22.00,376,1575.58,773,385.41,1943,3972.28,17359,33445.75,788,434.94,17149,5043.72,95347,39816.69,
Dumka,62,25.92,99,134.96,648,226.25,1217,2542.86,12965,23394.00,520,505.03,5565,3570.84,27718,15178.50,
East Singhbhum,110,14.96,408,1814.26,728,68.42,513,1914.24,25677,64557.36,938,695.19,9827,5669.99,72703,36469.39,
Garhwa,42,18.92,127,178.38,94,32.91,191,296.79,12517,22112.36,158,126.42,9889,6145.95,46222,31635.14,
Giridih,75,37.76,380,1409.90,1686,1480.76,2715,6069.15,29278,57555.92,1321,895.24,33299,14560.17,82572,66930.40,
Godda,86,45.71,116,178.74,646,376.81,1000,2136.68,12292,24614.21,361,297.25,4502,4674.17,28938,22351.32,
Gumla,42,6.18,172,581.99,467,439.16,670,1216.55,12706,26379.72,851,639.83,2245,2903.01,8007,8950.00,
Hazaribagh,94,47.85,379,1343.02,277,61.93,595,1753.33,25297,55573.99,708,431.20,14083,6514.84,53901,31659.74,
Jamtara,36,13.32,82,136.46,280,362.06,396,638.15,7479,11953.10,265,324.51,191,65.54,852,315.09,
Khunti,35,26.25,70,147.35,262,143.37,236,451.33,8628,18971.18,213,232.48,1210,933.98,10844,5026.61,
Koderma,43,23.85,223,992.89,121,41.45,325,1283.88,11012,28667.76,335,300.91,13933,3516.44,31725,17291.25,
Latehar,50,32.07,82,177.39,176,163.08,460,966.02,10515,20721.20,252,149.87,1323,2187.69,8359,10094.70,
Lohardaga,48,0.46,121,397.67,136,15.05,182,455.58,8779,20435.85,582,710.57,946,797.86,4715,3029.59,
Pakur,48,48.81,101,214.19,232,260.13,608,1661.72,11287,23750.74,334,263.78,4320,5812.31,16357,22849.60,
Palamu,72,23.51,83,118.26,169,88.18,119,156.04,19577,33980.15,446,466.78,11959,8652.26,72495,44130.96,
Ramgarh,65,15.58,194,576.57,251,256.68,275,704.49,11485,27279.81,310,254.61,4281,4219.46,27797,19528.58,
Ranchi,198,106.91,473,2373.55,1196,406.61,1599,7694.28,34147,86802.57,1364,1773.55,8452,7608.69,71965,42468.90,
Sahibganj,113,30.27,87,142.68,446,205.15,452,825.23,10776,19595.73,302,195.61,3447,4753.16,20165,20438.52,
Seraikela-Kharsawan,41,2.04,179,777.92,75,6.04,213,763.10,14921,35121.57,836,746.22,1892,1201.77,16248,8383.02,
Simdega,29,2.62,101,368.79,222,33.02,327,502.61,8826,16912.89,355,281.84,704,327.42,3188,1262.17,
West Singhbhum,73,1.66,159,480.36,127,29.21,249,608.80,18281,49025.43,355,221.33,1321,1456.57,12794,8470.05,
