district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,577790,256773,372701,461862,834563,59285,7.10,36293.76,2388,3.80,634251,76.00,272028,730259,87.50,
Chatra,660780,21322,324551,357551,682102,41723,6.12,32459.00,397,5.00,459370,67.35,169610,598434,87.73,
Deoghar,836437,248252,509341,575348,1084689,73951,6.82,50618.64,740,6.23,731240,67.41,180248,920323,84.85,
Dhanbad,829047,358980,522505,665522,1188027,69930,5.89,46759.56,4250,10.14,909741,76.58,386292,1063626,89.53,
Dumka,790250,65980,408295,447935,856230,70744,8.26,36241.09,853,0.87,547115,63.90,109901,711476,83.09,
East Singhbhum,533069,314359,389856,457572,847428,55064,6.50,37592.61,1837,10.62,668200,78.85,307273,751641,88.70,
Garhwa,784113,117503,448455,453161,901616,76754,8.51,32963.40,203,0.15,563444,62.49,206522,744533,82.58,
Giridih,1285164,129351,636860,777655,1414515,97563,6.90,67397.11,816,2.16,964433,68.18,429183,1258941,89.00,
Godda,790504,55933,391118,455319,846437,76263,9.01,30902.08,796,1.29,540957,63.91,152137,690480,81.57,
Gumla,522008,74724,274420,322312,596732,50763,8.51,35691.96,238,3.01,392774,65.82,174084,529000,88.65,
Hazaribagh,786290,186541,448173,524658,972831,82729,8.50,47178.88,1809,7.35,658532,67.69,259860,860062,88.41,
Jamtara,462952,32082,236411,258623,495034,34919,7.05,19252.54,669,1.59,314395,63.51,91073,428822,86.62,
Khunti,222295,12153,112369,122079,234448,20496,8.74,12791.55,745,0.99,122782,52.37,72866,211363,90.15,
Koderma,350645,39624,170550,219719,390269,22593,5.79,21561.90,482,6.75,303476,77.76,143159,356847,91.44,
Latehar,548099,47789,285356,310532,595888,47284,7.94,24542.18,260,3.17,376610,63.20,108770,506234,84.95,
Lohardaga,283897,16286,136453,163730,300183,31594,10.52,14478.30,286,0.40,189125,63.00,92686,280602,93.48,
Pakur,634813,58655,327452,366016,693468,51284,7.40,19234.38,342,1.26,465316,67.10,112443,604941,87.23,
Palamu,1071797,271787,665500,678084,1343584,127708,9.51,47550.93,180,0.91,928171,69.08,238037,1115030,82.99,
Ramgarh,299226,33117,150449,181894,332343,26816,8.07,19230.53,1944,7.62,243482,73.26,110724,308631,92.87,
Ranchi,1020106,417451,672340,765216,1437556,114387,7.96,68553.75,9453,20.66,863541,60.07,326985,1189085,82.72,
Sahibganj,711528,241437,455537,497428,952965,66902,7.02,30307.78,616,1.51,632156,66.34,129282,810855,85.09,
Simdega,334265,12696,156184,190777,346961,17266,4.98,21408.71,885,0.37,259267,74.73,148219,324034,93.39,
West Singhbhum,655998,121759,365442,412315,777757,46776,6.01,38245.43,5695,8.23,555876,71.47,218081,693948,89.22,
