district,as_on_30th_june_2024_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances,col_17
Bokaro,,,3184,11691.72,3212,30828.77,1,1.22,1,,27526,10143.06,173026,402912.21,45.69,
Chatra,,,238,721.08,163,1282.35,1,0.47,,,3620,1436.96,88804,90627.97,61.88,
Deoghar,,,1100,4083.59,1655,11895.48,4,14.81,6,9.89,15709,5828.43,156600,228152.36,56.08,
Dhanbad,2,936.81,5161,17643.78,10046,88679.68,6,24.99,,,59653,22760.72,251149,675382.44,44.44,
Dumka,,,256,860.89,738,5984.29,8,2.62,37,36.30,16050,6348.54,125886,125952.89,57.55,
East Singhbhum,,,7586,34569.49,9777,77372.56,7,70.63,,,54916,21792.26,272125,993699.64,44.20,
Garhwa,,,283,889.93,280,2429.45,16,42.01,8,2.49,12638,5073.89,122306,110483.58,64.06,
Giridih,25,6555.00,1042,3210.18,910,7358.93,6,105.78,,,28881,11722.67,221376,262855.61,56.51,
Godda,,,413,1296.94,1062,10207.07,2,0.50,39,3.90,8523,3768.51,115525,116059.91,58.06,
Gumla,,,542,1067.02,274,2457.13,2,0.28,1,9.21,4809,1823.93,79136,79051.58,60.07,
Hazaribagh,,,1368,4931.19,2235,18420.34,24,16.55,,,20461,9148.40,197038,347534.99,56.46,
Jamtara,,,418,820.09,333,2312.80,,,15,2.91,2544,781.10,66615,56969.06,58.12,
Khunti,,,172,548.52,229,2172.17,3,7.09,,,3587,1291.39,51248,49452.96,48.02,
Koderma,,,535,1810.61,593,4047.83,1,0.31,,,10023,3743.33,89197,120666.81,61.16,
Latehar,,,219,560.58,180,1916.88,1,0.29,3,0.65,4838,1509.39,52402,58877.80,50.45,
Lohardaga,,,213,732.85,260,2115.42,,,,,5213,2127.34,53927,60954.49,60.07,
Pakur,,,136,328.18,394,3557.85,12,3.91,,,17435,7015.76,81096,87700.37,63.02,
Palamu,,,774,2534.00,729,6397.91,6,25.38,3,3.32,21684,10161.17,191692,198005.12,56.77,
Ramgarh,,,1056,3602.22,965,9056.00,6,17.71,1,5.84,12789,5241.35,92026,168552.73,41.78,
Ranchi,2,3286.00,11570,51553.32,12283,143904.53,2068,173.77,2,7.45,44730,25625.65,1333743,1678404.83,40.07,
Sahibganj,,,566,1253.39,487,4220.81,,,44,42.61,13356,5929.36,92149,88254.59,59.14,
Seraikela-Kharsawan,,,2018,5805.73,1425,10566.57,1,0.44,,,10536,4734.62,210378,265826.61,58.70,
Simdega,,,136,355.23,123,1069.22,1,0.26,,,3194,1100.30,40246,38821.27,60.31,
West Singhbhum,,,1516,6084.98,864,8209.78,2,0.50,,,13190,4860.97,122536,156513.76,36.64,
