district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_7
Bokaro,168018,766735.54,47740,298936.51,38.99,
Chatra,60025,103021.07,15599,30365.91,29.48,
Deoghar,136595,355986.65,31087,113846.77,31.98,
Dhanbad,270154,1157807.03,71333,439683.48,37.98,
Dumka,97960,183116.39,22661,52755.70,28.81,
East Singhbhum,371780,2015240.74,109781,839919.15,41.68,
Garhwa,95582,138855.84,17585,33254.76,23.95,
Giridih,173342,416054.15,42372,141507.51,34.01,
Godda,84968,146321.46,23447,43887.01,29.99,
Gumla,44762,93799.25,9450,26263.65,28.00,
Hazaribagh,163781,443570.25,44375,142134.25,32.04,
Jamtara,48702,70685.48,11779,19070.59,26.98,
Khunti,37263,68533.82,8107,18722.16,27.32,
Koderma,69443,159337.26,18087,53664.44,33.68,
Latehar,46184,82484.74,9828,21704.29,26.31,
Lohardaga,34874,73911.19,8404,22390.84,30.29,
Pakur,78489,106684.27,20247,34417.33,32.26,
Palamu,160944,266337.98,29747,67568.36,25.37,
Ramgarh,84681,291907.70,23694,111558.92,38.22,
Ranchi,1086092,4099782.33,258697,1427921.48,34.83,
Sahibganj,77778,110047.87,18140,26229.50,23.83,
Seraikela-Kharsawan,152004,370161.29,33500,176040.72,47.56,
Simdega,26429,47136.72,6283,13654.93,28.97,
West Singhbhum,88354,432480.55,18486,255549.03,59.09,
