district,female_general_a_cs,sanc_amt_in_lakhs,minority_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs
Bokaro,205,4362,6,99,57,1368,15,283,283,6111,36,753,36,753,319,6864
Chatra,32,530,1,20,19,382,1,20,53,952,4,122,4,122,57,1074
Deoghar,145,3215,0,0,31,579,9,129,185,3923,9,149,9,149,194,4072
Dhanbad,308,7052,10,166,61,982,24,516,403,8716,36,804,36,804,439,9520
Dumka,43,862,1,56,17,401,6,179,67,1498,12,305,12,305,79,1803
Garhwa,19,328,0,0,10,129,2,30,31,487,6,119,6,119,37,606
Giridih,79,1622,3,64,45,824,6,91,133,2600,10,156,10,156,143,2757
Godda,56,1132,2,29,19,322,2,70,79,1553,9,139,9,139,88,1693
Gumla,17,267,0,0,12,196,3,87,32,549,8,149,8,149,40,699
Hazaribagh,141,2351,7,144,69,1161,8,124,225,3780,26,510,26,510,251,4290
Jamtara,27,865,0,0,6,67,1,24,34,956,1,25,1,25,35,981
Khunti,19,418,0,0,1,15,1,48,21,480,3,40,3,40,24,520
Koderma,41,585,0,0,18,268,1,25,60,878,16,252,16,252,76,1130
Latehar,38,655,0,0,22,392,5,56,65,1102,7,93,7,93,72,1195
Lohardaga,14,212,0,0,7,110,2,20,23,342,13,167,13,167,36,508
Pakur,21,556,1,15,3,93,2,80,27,744,3,82,3,82,30,826
Palamu,53,1130,1,45,32,544,3,60,89,1780,19,344,19,344,108,2123
Ramgarh,83,1440,0,0,24,450,6,68,113,1957,10,148,10,148,123,2105
Ranchi,654,14857,14,272,94,2047,56,1052,818,18229,113,2242,113,2242,931,20471
Sahibganj,23,534,1,10,12,163,2,58,38,764,3,35,3,35,41,799
Seraikela-Kharsawan,102,1999,0,0,10,166,4,60,116,2224,10,165,10,165,126,2389
Simdega,8,102,0,0,5,64,4,60,17,225,5,69,5,69,22,294
West Singhbhum,193,4889,1,11,23,422,17,290,234,5612,38,750,38,750,272,6362
