district,kccs_for_animal_husbandry_and_allied_activities_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt,farmers_producer_organizations_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt,dairy_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt,farm_mechanization_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt,poultry_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt,fisheries_as_of_30062024_no,amt,from_01042024_to_30062024_no,[no_in_actual_and_amt_in_lakh]_annexure_14_b_amt,rural_godowns_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt,agri_clinics_as_of_30062024_no,amt,from_01042024_to_30062024_no,amt
Bokaro,103,121.40,28,32.09,,,,,2554,1769.72,411,356.72,8247,9379.82,1650,2220.30,504,1261.96,79,609.07,377,186.60,48,33.53,,,,,1,0.10,,
Chatra,96,47.86,3,1.16,,,,,764,456.71,102,75.71,3503,2135.24,384,328.64,304,165.90,109,54.47,665,234.08,51,19.82,,,,,,,,
Deoghar,269,109.74,37,7.98,2,7.91,,,1058,1934.46,179,440.63,753,1037.32,81,110.57,23,75.43,1,40.00,16,7.84,6,2.04,36,40.20,,,,,,
Dhanbad,85,157.86,27,73.16,,,,,2190,1969.75,448,486.43,7949,12141.27,1666,2985.75,322,792.71,58,300.89,432,177.59,159,62.45,2,58.11,,,3,3.79,,
Dumka,70,33.76,6,9.10,5,18.78,3,19.00,1679,973.05,131,175.51,563,1195.24,69,63.49,262,151.07,19,46.56,181,50.16,14,4.67,,,,,,,,
East Singhbhum,97,220.46,25,50.98,2,5.40,,,1998,5117.37,830,2459.09,7090,10384.51,1447,2224.84,723,866.08,174,238.38,228,127.35,58,39.70,2,16.09,,,1,4.15,,
Garhwa,61,44.27,7,6.09,1,,,,3327,1082.64,260,138.36,5215,2283.84,450,311.98,346,197.00,54,43.79,599,142.13,77,32.02,123,26.01,,,,,,
Giridih,90,73.75,15,5.60,1,,,,2787,1466.77,614,539.66,7853,5750.06,771,982.06,935,408.29,118,64.32,894,313.07,205,88.81,,,,,2,1.18,,
Godda,223,94.47,43,9.42,,,,,5618,1823.73,942,412.23,3589,1756.90,352,187.45,247,266.50,54,59.10,249,81.03,41,15.30,,,,,,,,
Gumla,43,26.46,8,1.91,,,,,207,242.59,21,16.28,2463,1828.17,230,247.77,31,17.83,12,6.72,16,5.91,4,1.85,,,,,,,,
Hazaribagh,373,220.24,48,27.03,,,1,30.00,3531,1757.31,711,484.53,9167,6605.14,1105,1428.92,696,811.68,182,148.14,751,295.85,133,83.31,4,963.41,,,1,1.27,1,6.00
Jamtara,47,17.28,5,3.20,,,,,99,123.23,14,30.26,223,258.39,24,37.54,33,33.37,7,7.26,19,8.26,4,1.90,,,,,,,,
Khunti,119,66.53,27,13.63,2,35.04,,,142,129.99,28,16.44,1671,1201.22,132,99.36,28,38.72,4,1.15,7,3.39,,,,,,,,,,
Koderma,30,21.63,3,2.75,,,,,134,163.75,24,50.90,3391,2369.88,459,481.12,133,242.91,32,43.75,5,5.48,1,0.40,,,,,,,,
Latehar,238,85.06,23,6.29,,,,,213,210.00,29,33.93,1008,1121.19,40,43.46,134,157.77,18,11.89,18,9.68,3,2.35,,,,,,,,
Lohardaga,165,62.19,13,4.38,,,,,122,161.92,9,4.83,845,1112.89,78,158.15,16,21.51,1,11.57,43,29.03,7,2.30,,,,,,,,
Pakur,153,105.32,34,26.62,,,,,4284,1406.23,912,403.18,168,74.75,8,5.92,128,45.02,29,12.26,586,176.41,87,40.74,,,,,1,52.56,,
Palamu,133,82.94,9,3.95,,,,,4338,1435.62,482,333.89,10175,4825.82,899,547.25,1455,1373.15,185,132.31,1832,581.08,184,78.91,,,,,3,51.59,,
Ramgarh,90,87.36,18,16.82,1,30.11,,,3387,1438.42,484,313.17,4444,4531.16,579,1196.93,778,460.61,146,75.95,623,208.50,115,46.24,2,32.94,1,5.37,,,,
Ranchi,1542,2355.58,270,5087.92,1,,,,6130,6222.49,1182,1697.96,14952,17430.82,1072,3028.58,417,829.90,61,138.88,357,172.12,57,29.03,4,1070.90,1,15.00,10,18.98,1,0.80
Sahibganj,412,258.59,36,21.08,,,,,2456,862.40,164,87.31,1944,1551.76,223,226.47,222,98.41,6,4.28,553,190.78,55,29.51,1,66.47,,,,,,
Seraikela-Kharsawan,80,61.99,15,8.45,1,0.00,,,294,905.69,98,116.73,3815,4332.69,489,533.01,68,1071.23,16,103.05,86,59.23,8,5.80,,,,,1,14.13,,
Simdega,24,21.76,1,0.01,1,0.14,,,137,202.54,30,46.82,1941,1100.36,123,85.12,26,11.96,4,1.60,28,8.73,7,2.30,,,,,1,1.47,,
West Singhbhum,118,94.71,17,10.51,1,,,,559,675.38,88,116.42,4050,4305.21,355,243.63,226,166.37,38,20.49,70,39.29,17,10.34,99,197.04,,,1,10.92,,
