district,digital_coverage_for_savings_accounts_eligible_operative_savings_accounts_no_of,"of_which,_no_of_women_accounts","coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage_jun_24,pct_coverage_apr_24,growth_decline,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts_jun_24,pct_coverage_for_women_accounts_apr_24,growth_decline,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage_jun_24,pct_coverage_apr_24,growth_decline,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per,col_19
Bokaro,2310094,990545,2284306,98.88,98.83,▲ 0.06,980287,98.96,98.89,▲ 0.07,348869,46005,43383,94.30,93.93,▲ 0.40,79,
Chatra,996971,450626,986170,98.92,98.85,▲ 0.06,446662,99.12,99.06,▲ 0.07,150996,9012,8083,89.69,89.37,▲ 0.36,31,
Deoghar,1731011,793184,1723197,99.55,99.51,▲ 0.04,790695,99.69,99.67,▲ 0.01,338322,28728,28184,98.11,97.51,▲ 0.62,42,
Dhanbad,3109359,1354398,3080270,99.06,98.97,▲ 0.10,1342186,99.10,99.05,▲ 0.05,381631,76303,71273,93.41,92.94,▲ 0.50,108,
Dumka,1308225,670086,1299641,99.34,99.23,▲ 0.11,664724,99.20,98.99,▲ 0.21,313910,14410,14041,97.44,97.17,▲ 0.27,23,
Garhwa,1230246,544476,1227850,99.81,99.81,▼ 0.00,542771,99.69,99.69,▼ 0.01,222728,11465,11050,96.38,96.27,▲ 0.12,27,
Giridih,2793684,1283542,2759457,98.77,98.75,▲ 0.03,1269035,98.87,98.83,▲ 0.04,325938,32297,30758,95.23,94.97,▲ 0.28,66,
Godda,1247278,595579,1242561,99.62,99.54,▲ 0.08,593588,99.67,99.60,▲ 0.07,265215,11450,11108,97.01,96.79,▲ 0.23,27,
Gumla,1027912,493371,1016993,98.94,98.91,▲ 0.03,489845,99.29,99.19,▲ 0.10,106141,8883,8087,91.04,90.42,▲ 0.69,31,
Hazaribagh,2160521,975689,2141834,99.14,99.05,▲ 0.08,968108,99.22,99.12,▲ 0.11,276684,37042,34405,92.88,92.18,▲ 0.76,62,
Jamtara,805091,350137,799932,99.36,99.30,▲ 0.06,348390,99.50,99.48,▲ 0.02,186334,7123,6895,96.80,96.13,▲ 0.70,24,
Khunti,460359,219275,457064,99.28,99.28,▲ 0.01,217929,99.39,99.38,▲ 0.01,75090,4753,4494,94.55,92.99,▲ 1.68,20,
Koderma,880768,400490,871229,98.92,98.84,▲ 0.07,396998,99.13,99.04,▲ 0.09,156230,17581,16317,92.81,92.23,▲ 0.63,36,
Latehar,704482,325075,702313,99.69,99.68,▲ 0.02,324068,99.69,99.66,▲ 0.03,143686,10908,10621,97.37,97.22,▲ 0.16,19,
Lohardaga,557375,259844,549463,98.58,98.51,▲ 0.07,256995,98.90,98.83,▲ 0.08,71361,7754,6843,88.25,87.60,▲ 0.75,23,
Pakur,873239,454502,866150,99.19,99.18,▲ 0.01,451628,99.37,99.35,▲ 0.02,224084,11307,11058,97.80,97.51,▲ 0.29,25,
Palamu,1900305,837454,1896199,99.78,99.76,▲ 0.02,835051,99.71,99.67,▲ 0.04,367723,22937,21923,95.58,95.30,▲ 0.29,32,
Ramgarh,1150851,507479,1136261,98.73,98.63,▲ 0.10,500129,98.55,98.29,▲ 0.26,183581,19348,17708,91.52,90.55,▲ 1.07,53,
Sahibganj,1027456,502758,1020266,99.30,99.22,▲ 0.08,499561,99.36,99.25,▲ 0.12,302604,11810,11357,96.16,95.81,▲ 0.37,30,
Seraikela-Kharsawan,1112228,519668,1100883,98.98,98.89,▲ 0.09,515348,99.17,99.03,▲ 0.14,168027,17085,16299,95.40,94.61,▲ 0.83,51,
Simdega,617534,306504,609982,98.78,98.72,▲ 0.06,303613,99.06,99.03,▲ 0.03,65912,5627,5307,94.31,94.24,▲ 0.08,23,
