district,as_on_30th_june_2024_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance,col_17
Bokaro,84887,58923.82,52490,30130.43,32397,28793.39,20546,15266.45,50,170.09,7032,18057.09,91969,77151.01,8.75,
Chatra,71784,45137.49,54993,31145.83,16791,13991.65,10862,8736.22,200,82.00,4406,10090.06,76390,55309.55,37.77,
Deoghar,115395,70374.17,88069,49291.99,27326,21082.18,16497,13935.25,73,616.18,1075,11616.82,116543,82607.17,20.30,
Dhanbad,102296,66618.87,44569,27400.52,57727,39218.35,34170,20965.18,117,1246.00,6218,21223.81,108631,89088.68,5.86,
Dumka,93827,52787.37,67561,31003.25,26266,21784.12,17740,16390.88,81,534.93,700,3905.10,94608,57227.40,26.15,
East Singhbhum,115674,83115.13,77543,45623.83,38131,37491.30,24308,23258.53,46,324.76,9648,37072.16,125368,120512.06,5.36,
Garhwa,100362,76302.43,58111,50398.79,42251,25903.64,26204,22679.24,308,91.54,472,1193.89,101142,77587.86,44.99,
Giridih,147691,86971.61,84509,46237.07,63182,40734.54,43449,25588.85,122,206.39,6996,19373.01,154809,106551.01,22.91,
Godda,92133,62059.93,61843,40163.75,30290,21896.18,22529,14295.30,5,4.10,1060,2757.26,93198,64821.30,32.43,
Gumla,61959,37158.72,53566,27274.33,8393,9884.38,4685,6726.31,2,2.56,3941,9350.12,65902,46511.39,35.34,
Hazaribagh,130995,91306.50,77372,51764.51,53623,39541.99,33538,23788.38,22,130.61,5832,28443.77,136849,119880.88,19.48,
Jamtara,55920,35624.34,49890,28859.00,6030,6765.34,3571,4044.92,13,7.76,820,1908.97,56753,37541.06,38.30,
Khunti,39911,22716.06,27669,14050.98,12242,8665.09,9884,6884.96,6,49.00,1621,4424.28,41538,27189.34,26.40,
Koderma,55809,32654.84,29978,16788.86,25831,15865.98,9693,6493.69,6,21.57,3859,11830.67,59674,44507.07,22.56,
Latehar,39571,35375.03,31029,22659.95,8542,12715.08,5626,9537.60,204,65.28,569,1053.66,40344,36493.97,31.27,
Lohardaga,38617,24620.74,33534,19531.04,5083,5089.70,2579,3239.29,17,25.67,3115,8591.78,41749,33238.19,32.75,
Pakur,48573,36908.21,30872,20678.75,17701,16229.46,14806,11448.85,184,141.68,1827,3573.80,50584,40623.68,29.19,
Palamu,150448,115686.24,83650,69770.96,66798,45915.28,45895,32319.60,695,260.42,1481,2562.54,152624,118509.20,33.97,
Ramgarh,51712,30662.22,26419,15046.60,25293,15615.62,19531,11225.79,24,78.79,3852,10155.89,55588,40896.90,10.14,
Ranchi,1103836,362516.19,95592,65249.20,1008244,297267.00,160561,72639.30,244,4747.14,8040,125422.58,1112120,492685.91,11.76,
Sahibganj,63466,48479.83,41475,30073.49,21991,18406.34,17091,12806.09,33,56.34,1571,1851.29,65070,50387.46,33.76,
Seraikela-Kharsawan,159414,70374.17,57564,34261.83,101850,36112.34,21767,11897.54,17,547.90,4139,13413.92,163570,84336.00,18.62,
Simdega,29008,17053.64,22409,10209.79,6599,6843.84,3623,4882.73,24,25.32,2692,5403.71,31724,22482.67,34.93,
West Singhbhum,85185,64724.23,70773,45120.68,14412,19603.56,6526,12908.55,117,209.92,3250,8060.64,88552,72994.79,17.09,
