district,doubling_of_farmers_income_by_june_24_benchmark_parameter_short_term_credit_crop,total_no_of_sf_mf_tenant_farmers_financed_no_of_accounts_p,total_amount_of_sf_mf_tenant_farmers_financed_amt_in_rs_lacs_q,total_no_of_allied_activities_accounts_no_of_accounts_r,total_amount_of_allied_activities_accounts_amount_in_rs_lacs_s,term_loan_total_no_of_sf_mf_tenant_farmers_financed_no_of_accounts_t,total_amount_of_sf_mf_tenant_farmers_financed_amount_in_rs_lacs_u,total_no_of_allied_activities_accounts_no_of_accounts_v,total_amount_of_allied_activities_accounts_amount_in_rs_lacs_w
Bokaro,0.55,85934,40500,12963,17181,85934,40500,12963,17181
Chatra,5748.32,478,725,,1,0,3654,3847,0
Deoghar,0.72,106486,60780,16391,13085,64134,47287,1992,3089
Dhanbad,,,,,,,,,
Dumka,0.69,56041,30186.62,14485,10285.75,1448,2012.5,1798,2496.46
Garhwa,0.51,16618,19578.84,5966,9702.25,32657,17823.27,998,731.22
Giridih,0.333805522,84984,46202.69,41345,26013.44,58604,38697.01,17259,12683.57
Godda,0.42,83450,49142,29500,16500,21850,13360,900,335
Gumla,0.64,4616,2954.24,1829,1170.56,600,384,230,147.2
Hazaribagh,17144,17273,11875,8901,20329,12911,21855,21795,8827
Jamtara,0.7,14400,70.82,6646,10587,7077,624,5881,624
Khunti,7943,7815,4109,1240,806,1067,1081,986,1031
Koderma,0.35,0,0,0,0,56248,9769.6,17285,10637.72
Latehar,0.3,31351,21276.25,,,605,4857,1712,21276.25193
Lohardaga,0.93,8946,4318,8728,6128,8946,4318,8728,6128
Pakur,0.8669,4538,3916,1019,1610,4035,3414,587,967
Palamu,0.9,39463,35594,,,42921,42891.64,40691,39325
Ramgarh,6879.41,,,,,,,,
Ranchi,10261.81,70792,9335,5773,1327.25,37934,63489.37,18073,63070.77
Sahibganj,0.2,21656,19089.13,6970,12727.37,21656,19089.13,6970,12727.37
Simdega,210.5,32431,13064.98,8559,3274.15,10930,4605.3,10544,4653
