district,grand_total_of_laf,returned_by_bank,returned_after_sanction,resubmitted_applications,picked_up_status_pending_for_sanction,total_sanctioned,pct_total_sanctioned_vs_total_application_laf,total_sanctioned_but_pending_for_disbursement,total_disbursement,disb_amt_in_lakhs,pct_total_disbursement_vs_total_sanction,npa,applications_already_closed
Bokaro,7460,891,256,161,373,6357,85.21,505,5852,717.60,92.06,359,1377
Chatra,1509,460,211,0,58,991,65.67,21,970,123.29,97.88,133,541
Deoghar,7060,816,446,180,226,6198,87.79,393,5805,713.75,93.66,412,1431
Dhanbad,20329,4451,1550,291,649,15520,76.34,666,14854,1764.09,95.71,873,3925
Dumka,1669,49,36,39,79,1580,94.67,94,1486,191.25,94.05,89,462
Garhwa,2260,319,337,18,145,1814,80.27,70,1744,205.00,96.14,175,480
Giridih,5637,707,337,147,234,4843,85.91,227,4616,573.31,95.31,524,1254
Godda,2148,312,116,16,80,1772,82.50,28,1744,230.52,98.42,147,605
Gumla,1050,81,58,40,42,967,92.10,54,913,113.40,94.42,82,353
Hazaribagh,5474,844,439,216,289,4557,83.25,483,4074,464.61,89.40,154,923
Jamtara,1290,201,97,17,57,1049,81.32,68,981,117.65,93.52,69,269
Khunti,958,147,92,8,35,784,81.84,36,748,94.56,95.41,22,292
Koderma,3013,270,247,103,108,2738,90.87,99,2639,360.43,96.38,344,1103
Latehar,941,56,28,21,33,873,92.77,96,777,120.40,89.00,53,396
Lohardaga,1531,250,95,40,128,1193,77.92,72,1121,146.70,93.96,54,371
Pakur,935,154,94,3,35,749,80.11,30,719,90.20,95.99,39,224
Palamu,6696,302,540,201,316,6279,93.77,240,6039,744.25,96.18,283,1439
Ramgarh,3552,986,428,37,166,2437,68.61,151,2286,285.30,93.80,140,793
Ranchi,19830,2581,2505,1062,976,17335,87.42,1144,16191,1944.01,93.40,610,4793
Sahibganj,2777,290,197,36,160,2363,85.09,97,2266,266.86,95.90,99,465
Seraikela-Kharsawan,4438,881,376,102,421,3238,72.96,121,3117,375.39,96.26,145,948
Simdega,1129,241,19,3,75,816,72.28,32,784,102.20,96.08,67,303
West Singhbhum,2572,382,216,33,162,2061,80.13,81,1980,253.78,96.07,105,716
