district,notices_issued_u_s_13_2_of_sarfaesi_act_ac,amt_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_ac,amt_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_ac,out_of_that_physical_possession_taken_ac,no_of_cases_pending_ac
Bokaro,927,7207.90,61,2581.32,39,1,45
Chatra,6,43.87,0,0,0,0,4
Deoghar,20,983.71,9,792.85,9,0,15
Dhanbad,269,11844.20,167,8816.7,81,8,102
Dumka,5,81.57,3,62.66,3,0,5
East Singhbhum,418,64748.81,263,96705.84,224,71,190
Garhwa,19,511.38,9,429.4,9,3,6
Giridih,731,1942.06,26,336.5,13,3,14
Godda,3,32.33,2,25.74,2,0,3
Gumla,10,102.92,6,65.11,2,1,1
Hazaribagh,57,781.75,35,472.5,22,1,31
Jamtara,2,16.00,1,2,1,0,2
Khunti,3,21.24,0,0,0,0,1
Koderma,10,146.74,8,88.88,6,1,5
Latehar,10,126.39,1,3,1,0,1
Lohardaga,25,646.67,20,569.78,4,1,4
Pakur,6,12.04,5,12.02,2,0,4
Palamu,26,215.96,9,87.98,9,4,5
Ramgarh,40,1271.29,26,1105.05,19,1,29
Ranchi,400,41758.44,283,36569.82,163,20,194
Sahibganj,7,44.65,6,40.42,0,0,3
Simdega,8,41.26,3,41.26,1,0,1
West Singhbhum,11,182.84,5,70.3,5,1,4
