district,culture Plantation & Amount horti-,A/C Nos Plantation horticulture &,Farm Amount anization mech-,Farm Nos nization A/C mecha-,Water Amount Resource,source Water Nos A/C Re-,Amt wasteland Forestry and Dev.,A/C wasteland Forestry Nos and Dev.,Crop Amt Loan,Loan Crop A/C
East Garo Hills,0,0,2.8,9,0,0,0,0,120.8,281
East Jaintia Hills,0,0,8.49,11,0,0,3.31,2,192.33,269
East Khasi Hills,6.56,7,173.86,589,0,0,76.36,74,1523.65,2068
Eastern West Khasi Hills,0.32,1,60.96,199,0,0,2.92,1,510.52,929
North Garo Hills,0,0,0,0,0,0,0,0,96.56,299
Ri Bhoi,0,0,9.4,26,0,0,4.45,4,1810.52,2730
South Garo Hills,0,0,0,0,0,0,0,0,153.14,272
South West Garo Hills,0,0,72.1,224,0,0,0,0,79.13,215
South West Khasi Hills,0,0,0,0,0,0,0,0,163.66,299
West Garo Hills,0,0,180.25,535,0,0,1.26,2,1226.93,784
West Jaintia Hills,0,0,74.75,284,0,0,0,0,485.39,665
West Khasi Hills,0,0,0.6,1,0,0,3.36,2,412.12,704
