District,PMFBY Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,0,9.55
East Jaintia Hills,0,125.77
East Khasi Hills,5,711.45
North Garo Hills,0,15.15
Ri Bhoi,0,559.56
South Garo Hills,0,1.91
West Garo Hills,0,1369.57
West Jaintia Hills,0,685.99
West Khasi Hills,0,3.6
