District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
East Garo Hills,863.2,53790,866.04,20709,624839.36,2766615,106.68,321,11471.32,739588,1055029.31,20708722
East Jaintia Hills,1287.69,57211,3242.2,82691,3223790.84,10298819,290.53,856,14808.9,724543,4460997.48,85556289
East Khasi Hills,29558.02,1554880,777405.07,1401678,142968317.4,44902986,1001.64,4209,142080.01,7179450,84683255.27,301065723
North Garo Hills,1003.54,53904,402.13,10385,109.31,689,0,0,15283.72,922118,246.39,26182
Ri Bhoi,5145.62,268065,4546.7,128658,2215157.57,6286662,263.13,1233,37128.5,1839598,3861284.71,81720305
South Garo Hills,477.5,29691,229.01,5478,43.76,646,0,0,9180.63,537228,190.18,12175
South West Garo Hills,893.83,42003,438.64,10564,426641.3,1880361,0,1,12724.97,778760,1221055.62,20603162
South West Khasi Hills,464.62,24578,752.76,18202,3155.83,21404,21.68,107,2612.44,159151,3856.42,105328
West Garo Hills,5729.22,309126,151549.04,92626,56482346.31,6932861,233.62,905,77256.21,3891050,60529395.23,51162573
West Jaintia Hills,2580.14,152761,6464.63,154791,1598468.06,6672228,9.81,143,14459.35,877621,1697109.79,34400752
West Khasi Hills,1006.51,49960,2312.44,59000,509618.53,2588414,0.04,1,5675.38,324376,757548.07,12365335
