district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,PS Amt Other,PS No Other,able Amt Renew-,able No Renew-,Infra Social Amt,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,66.92,37,0.25,2,0,0,0,6,63.51,27,3.16,2,0,0
East Jaintia Hills,342.79,53,219.56,36,0,0,3.67,2,108.02,9,11.54,6,0,0
East Khasi Hills,2327.44,2002,1775.4,1880,0,0,52.15,17,277.42,33,222.47,72,0,0
North Garo Hills,256.87,102,0,0,0,0,19.31,9,216.25,89,21.31,4,0,0
Ri Bhoi,383.52,578,211.18,538,0,0,4.37,3,108.73,12,59.24,25,0,0
South Garo Hills,96.78,45,0,0,0,0,25.69,12,71.09,33,0,0,0,0
West Garo Hills,328.54,74,3.76,2,0,0,42.24,13,264.61,50,17.93,9,0,0
West Jaintia Hills,411.27,132,202.17,78,0,0,14.43,17,167.13,26,27.54,11,0,0
West Khasi Hills,201.05,52,151.33,31,0,0,2.61,1,14.06,7,33.05,13,0,0
