District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,Amt. TRIANS ZORAS,No. TRIANS ZORAS,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,189.25,122,0,0,0,0,13.39,1,0,0,67.48,31,108.38,90
East Jaintia Hills,1368.32,663,10,11,0,0,0,0,0,1,123.76,84,1234.56,567
East Khasi Hills,27945.21,8950,36.5,10,1,1,428.06,252,258.81,83,2265.18,764,24955.66,7840
North Garo Hills,29.95,35,0,0,0,0,0,0,0,0,22.9,30,7.05,5
Ri Bhoi,6481.7,2789,68,7,0,0,1640.55,26,18.83,28,2683.64,1261,2070.68,1467
South Garo Hills,97.29,45,0,0,0,0,0,0,0,0,84.02,25,13.27,20
West Garo Hills,3597.89,3404,0,0,0,0,28.58,15,6.79,12,1280.94,2837,2281.58,540
West Jaintia Hills,2784.15,1215,0,0,0,0,2.15,4,0,1,92.71,35,2689.29,1175
West Khasi Hills,1354.21,1045,0,0,0,0,0,2,10.79,7,6,7,1337.42,1029
