District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
East Garo Hills,79,168.63,147,227.49
East Jaintia Hills,0,0,31,7.28
East Khasi Hills,163,211.35,4876,1432.9
Eastern West Khasi Hills,47,68.21,73,81.89
North Garo Hills,0,0,87,93.87
Ri Bhoi,105,58.59,1974,505.35
South Garo Hills,0,0,22,8.26
South West Garo Hills,53,82.84,220,156.78
South West Khasi Hills,0,0,6,2.58
West Garo Hills,258,545.05,1096,950.87
West Jaintia Hills,52,92.42,150,107.96
West Khasi Hills,1,2,71,129.93
