district,Amt. NRLM % NPA,NRLM Amt. NPA,NPA NRLM No.,A/C NRLM Amt. Irregular,NRLM A/C No. Irregular,NRLM Amt. O/S,No. NRLM O/S,Help Year Amount Self- Current Group,Group Current No. Self-Help Year
East Garo Hills,8.61,19.13,54,3.87,11,222.25,421,35.48,44
East Jaintia Hills,0.23,1.09,2,1.09,2,479.3,530,133.01,112
East Khasi Hills,1.05,10.35,18,7.19,11,981.86,1260,471.02,511
Eastern West Khasi Hills,3.26,30.45,20,9.53,7,935.02,766,113.5,72
North Garo Hills,17.94,36.12,108,0.92,8,201.37,379,97,115
Ri Bhoi,3.06,28.22,39,22.15,24,923.28,1130,109,77
South Garo Hills,14.29,31.23,66,29.87,53,218.59,273,67.05,61
South West Garo Hills,1.51,5.41,6,2.44,3,359.43,424,66.47,50
South West Khasi Hills,0.09,0.48,1,0.52,4,523.94,420,80.56,52
West Garo Hills,6.49,68.65,137,24.74,45,1057.69,1358,277.29,240
West Jaintia Hills,2.35,21.74,21,19.14,16,923.27,1037,137.55,128
West Khasi Hills,0.61,4.06,7,4.06,7,661.18,657,162.67,122
