district,Amt. NPA SHG %,SHG Amt. NPA,NPA SHG No.,SHG Amt. O/S,O/S SHG No.,FY Amount Linked Credit Current,FY Linked No Credit Current,Savings Current Amount FY Linked,rent No Cur- Linked Savings FY,Linked Quarter During the Amount Credit,it Quarter During Linked No Cred- the,Linked Quarter During the Amount Savings,ings No Quarter During Linked Sav- the
East Garo Hills,7.94,10.86,18,136.77,183,26,34,102.03,2017,6.5,13,79.53,987
East Khasi Hills,2.38,23.97,44,1006.86,1232,500.3,532,164.64,3456,236.74,265,97.06,719
Ri Bhoi,7,72.7,87,1039.14,1246,136.5,94,51.45,677,36.5,29,40.82,428
West Garo Hills,7.78,76.82,170,986.84,1354,296.82,259,202.1,3354,94.5,88,156.98,1973
West Khasi Hills,2.53,16.73,37,662.03,676,145,111,41.3,392,67,50,3.7,200
