District,Total Br(s),Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renew- able No.,Others No.,Total Other PS O/S No.
Aizawl,128,0,60345.01,192,5075,0,1,4409,9677
Champhai,18,0,4982.77,5,529,0,0,47,581
Hnahthial,5,0,2053.78,3,169,0,0,13,185
Khawzawl,8,0,2426.02,3,242,0,0,19,264
Kolasib,25,0,6740.16,24,719,0,0,1663,2406
Lawngtlai,12,0,15894.7,12,1830,0,0,31,1873
Lunglei,23,0,17082.79,19,1735,0,0,76,1830
Mamit,13,0,3841.76,1,429,0,0,7,437
Saiha,7,0,9757.38,5,1207,0,0,37,1249
Saitual,10,0,1770.46,6,167,0,0,13,186
Serchhip,17,0,7207.69,10,768,0,0,28,806
