District,Total Br,Micro,Small,Medium,Other Msme,Msme Total O/S
Aizawl,128,13648,1586,55,123,15412
Champhai,18,1709,17,3,146,1875
Hnahthial,5,380,1,0,0,381
Khawzawl,8,602,23,2,1,628
Kolasib,25,1901,22,0,89,2012
Lawngtlai,12,1193,34,0,1,1228
Lunglei,23,3131,61,0,75,3267
Mamit,13,1082,8,0,3,1093
Saiha,7,642,15,0,1,658
Saitual,10,885,9,0,0,894
Serchhip,17,1667,13,0,2,1682
