District,Total Br,In- active CSP,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated Sb accounts,RuPaycardissuedin KCC
Aizawl,128,53,36885,3298,50769,1629
Champhai,18,8,6630,364,8319,1814
Hnahthial,5,6,3208,51,1740,0
Khawzawl,8,0,5714,111,1259,1
Kolasib,25,3,9814,187,9291,7
Lawngtlai,12,23,17208,256,13021,3177
Lunglei,23,17,20289,534,12130,1559
Mamit,13,13,11889,62,4545,11
Saiha,7,15,8121,339,6305,2853
Saitual,10,0,5649,57,692,0
Serchhip,17,3,9998,121,1837,3
