district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,128,162,408.42,138,408.42,978,408.42,193,408.42,10.37
Champhai,18,20,28.69,26,28.69,152,28.69,14,28.69,6.8
Hnahthial,5,1,2.33,7,2.33,58,2.33,1,2.33,1.26
Khawzawl,8,25,15.04,19,15.04,84,15.04,5,15.04,4.26
Kolasib,25,28,189.77,31,189.77,234,189.77,50,189.77,18.42
Lawngtlai,12,1,76.32,7,76.32,176,76.32,38,76.32,22.8
Lunglei,23,92,73.21,99,73.21,555,73.21,39,73.21,4.68
Mamit,13,24,62.32,13,62.32,219,62.32,36,62.32,9.82
Saiha,7,1,51.71,8,51.71,81,51.71,25,51.71,23.7
Saitual,10,12,41.71,18,41.71,129,41.71,15,41.71,7.97
Serchhip,17,16,42.34,17,42.34,260,42.34,20,42.34,5.3
