District,Total Branch,Sishu,Kishore,Tarun,Total MUDRA Disb
Aizawl,c,3035,1944,901,5880
Champhai,18,692,308,89,1089
Hnahthial,5,9,27,19,55
Khawzawl,8,16,35,21,72
Kolasib,25,932,808,103,1843
Lawngtlai,12,102,70,51,223
Lunglei,23,595,322,117,1034
Mamit,13,21,69,35,125
Saiha,7,1,40,31,72
Saitual,10,13,69,48,130
Serchhip,17,25,74,59,158
