district,Total Br(s),AGRI,EDN,HOUSING,PERSONAL,OTHER NPS,Total NPS
Aizawl,128,3,0,28,279,1564,1874
Champhai,18,2,0,7,9,55,73
Hnahthial,5,0,0,0,0,6,6
Khawzawl,8,0,0,1,13,18,32
Kolasib,25,0,0,9,17,134,160
Lawngtlai,12,1,0,7,50,56,114
Lunglei,23,46,0,2,28,108,184
Mamit,13,0,0,1,20,11,32
Saiha,7,3,0,3,28,46,80
Saitual,10,0,0,0,4,7,11
Serchhip,17,0,0,0,17,24,41
