District,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,128,50227,87041,6334,143602
Champhai,18,5198,9090,729,15017
Hnahthial,5,2520,4431,115,7066
Khawzawl,8,3041,4395,55,7491
Kolasib,25,5856,11619,975,18450
Lawngtlai,12,4395,9145,859,14399
Lunglei,23,9403,21377,1517,32297
Mamit,13,5344,9609,128,15081
Saiha,7,3555,5430,342,9327
Saitual,10,2575,4025,90,6690
Serchhip,17,5098,7557,322,12977
