District,Total Br,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,128,5403,1108,0,35,6546
Champhai,18,107,476,0,3,586
Hnahthial,5,10,33,0,0,43
Khawzawl,8,36,80,0,0,116
Kolasib,25,90,261,0,34,385
Lawngtlai,12,332,651,0,5,988
Lunglei,23,50,553,0,5,608
Mamit,13,91,182,0,0,273
Saiha,7,159,279,0,0,438
Saitual,10,74,86,0,0,160
Serchhip,17,37,189,0,0,226
