District,Total Br,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Aizawl,128,573226,417906,160029
Champhai,18,91032,64316,15501
Hnahthial,5,26685,20088,3890
Khawzawl,8,38001,29552,3608
Kolasib,25,100004,71599,19084
Lawngtlai,12,132690,94264,28253
Lunglei,23,154195,104623,30019
Mamit,13,85310,63477,10361
Saiha,7,76119,50745,12856
Saitual,10,49547,37895,4596
Serchhip,17,72736,55641,5848
