district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,21,0,139,177,6,0,139,177,69,145,177
Champhai,5,10,0,56,0,10,0,56,38,3,56
Hnahthial,4,1,0,16,1,1,0,16,15,1,16
Khawzawl,4,2,0,27,2,2,0,27,21,0,27
Kolasib,7,14,0,83,1,14,0,83,32,6,83
Lawngtlai,5,6,0,109,1,6,0,109,75,0,109
Lunglei,7,14,3,95,1,14,3,95,39,3,95
Mamit,12,1,0,79,4,1,0,79,50,0,79
Saiha,1,6,0,54,0,6,0,54,35,1,54
Saitual,6,2,0,15,1,2,0,15,15,0,15
Serchhip,9,7,0,67,1,7,0,67,33,0,67
