district,Total Br(s),Current Year Female Account,Current Year Male Accountto SC,Current Year Male Accountto ST,Total Current Year SUI Disb
Aizawl,128,70,1,38,109
Champhai,18,3,0,0,3
Hnahthial,5,0,0,0,0
Khawzawl,8,0,0,2,2
Kolasib,25,5,0,0,5
Lawngtlai,12,1,0,1,2
Lunglei,23,1,0,0,1
Mamit,13,1,0,0,1
Saiha,7,2,0,0,2
Saitual,10,0,0,0,0
Serchhip,17,2,0,4,6
