district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,128,118,5.23,369,5.23,64,5.23,2,5.23,0.95
Champhai,18,91,21.36,428,21.36,60,21.36,14,21.36,1.56
Hnahthial,5,7,0,40,0,4,0,0,0,0
Khawzawl,8,44,11.41,212,11.41,38,11.41,6,11.41,2.56
Kolasib,25,46,58.97,307,58.97,38,58.97,38,58.97,7.78
Lawngtlai,12,81,17.2,214,17.2,28,17.2,22,17.2,4.78
Lunglei,23,43,0,129,0,37,0,0,0,0
Mamit,13,85,20.24,395,20.24,44,20.24,18,20.24,2.26
Saiha,7,68,21.47,354,21.47,19,21.47,11,21.47,2.69
Saitual,10,21,1.67,240,1.67,17,1.67,1,1.67,0.29
Serchhip,17,78,23.25,397,23.25,86,23.25,16,23.25,2.46
