district,period,branch_network__total_branch,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__gross_npa,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Anantnag,December 2023,137,79.67,14482.0,609637.0,765247.18
Bandipora,December 2023,47,100.61,5711.0,166338.0,165337.0
Baramulla,December 2023,171,105.01,31815.0,706311.0,672639.0
Budgam,December 2023,104,109.8,11542.0,504821.88,459759.16
Doda,December 2023,59,78.04,3867.0,232462.0,297858.74
Ganderbal,December 2023,48,94.4,5700.0,182441.0,193258.87
Jammu,December 2023,452,40.18,111573.0,2457714.0,6116292.61
Kathua,December 2023,117,52.21,15850.0,493011.53,944298.0
Kishtwar,December 2023,32,58.38,755.0,140280.0,240281.0
Kulgam,December 2023,58,88.12,4712.0,216275.0,245432.5
Kupwara,December 2023,90,141.02,12602.0,440965.0,312691.0
Poonch,December 2023,55,55.5,2216.0,201569.0,363216.0
Pulwama,December 2023,97,107.45,19971.0,500210.0,465548.81
Rajouri,December 2023,98,56.79,3718.0,351156.0,618309.0
Ramban,December 2023,39,71.76,2029.0,142635.0,198757.37
Reasi,December 2023,56,52.04,1554.0,178178.0,342386.86
Samba,December 2023,94,59.02,8992.0,434906.0,736923.76
Shopian,December 2023,40,129.88,5877.0,206849.0,159260.87
Srinagar,December 2023,243,73.69,213634.0,2573817.0,3492766.39
Udhampur,December 2023,94,52.18,4324.0,359469.49,688930.68
Anantnag,December 2025,139,79.44,14137.0,721624.0,908358.27
Bandipora,December 2025,47,99.68,8702.0,197528.0,198163.0
Baramulla,December 2025,175,96.56,33879.0,807531.0,836281.3
Budgam,December 2025,113,105.19,14054.0,556143.58,528712.0
Doda,December 2025,62,78.11,4379.0,273371.0,349975.0
Ganderbal,December 2025,50,95.28,4148.0,229625.0,240988.0
Jammu,December 2025,473,41.64,108664.0,3031286.0,7280202.4
Kathua,December 2025,127,53.18,11130.0,615367.49,1157194.78
Kishtwar,December 2025,35,64.14,952.0,185163.0,288667.0
Kulgam,December 2025,58,87.88,5211.0,259529.0,295314.0
Kupwara,December 2025,93,131.32,14515.0,511233.0,389310.0
Poonch,December 2025,56,54.96,2769.0,237112.0,431414.0
Pulwama,December 2025,97,113.44,15503.0,612240.0,539710.0
Rajouri,December 2025,103,56.62,5214.0,420791.0,743123.71
Ramban,December 2025,37,72.77,2183.0,163182.66,224234.0
Reasi,December 2025,59,54.87,2347.0,219982.0,400901.0
Samba,December 2025,103,57.04,7468.0,517253.9,906841.0
Shopian,December 2025,42,126.77,5029.0,247802.0,195480.0
Srinagar,December 2025,253,68.18,162639.0,2676589.0,3925829.81
Udhampur,December 2025,98,54.67,4810.0,442871.2,810012.04
Anantnag,March 2024,136,78.29,13672.0,628499.0,802789.92
Bandipora,March 2024,47,96.05,5265.0,169213.0,176174.0
Baramulla,March 2024,172,103.56,31077.0,723844.0,698951.0
Budgam,March 2024,108,107.29,10644.0,517139.86,482020.74
Doda,March 2024,59,77.18,3800.0,238998.0,309664.61
Ganderbal,March 2024,49,93.87,5458.0,189816.0,202205.53
Jammu,March 2024,459,40.31,106245.0,2538073.0,6296535.96
Kathua,March 2024,122,53.23,16514.0,515478.86,968481.0
Kishtwar,March 2024,32,55.44,893.0,144303.0,260266.0
Kulgam,March 2024,58,87.48,4748.0,222295.0,254100.84
Kupwara,March 2024,90,131.44,11983.0,446902.0,340014.0
Poonch,March 2024,56,53.93,2304.0,206305.0,382522.0
Pulwama,March 2024,98,108.44,16558.0,517839.0,477547.5
Rajouri,March 2024,101,56.83,3461.0,363792.0,640142.0
Ramban,March 2024,39,69.21,1941.0,145065.0,209603.46
Reasi,March 2024,56,50.38,1614.0,184833.0,366850.42
Samba,March 2024,96,59.25,11209.0,445966.0,752645.9
Shopian,March 2024,40,132.89,5546.0,214531.0,161437.78
Srinagar,March 2024,247,71.23,212389.0,2592594.0,3639505.6
Udhampur,March 2024,93,52.31,4123.0,367497.56,702575.71
Anantnag,March 2025,139,76.76,13803.0,665579.92,867110.86
Bandipora,March 2025,47,94.91,8564.0,181115.0,190821.0
Baramulla,March 2025,170,92.57,34201.0,759217.0,820127.0
Budgam,March 2025,111,106.65,10338.0,524511.93,491795.23
Doda,March 2025,62,78.06,3751.0,260693.0,333960.13
Ganderbal,March 2025,49,91.28,4973.0,205707.0,225358.99
Jammu,March 2025,464,40.16,113517.0,2729899.0,6797649.25
Kathua,March 2025,129,54.13,19264.0,585677.46,1081890.0
Kishtwar,March 2025,35,60.08,844.0,167182.0,278255.0
Kulgam,March 2025,58,83.06,4772.0,234803.97,282701.48
Kupwara,March 2025,91,126.8,13725.0,471041.0,371469.0
Poonch,March 2025,58,51.48,2328.0,216863.0,421295.0
Pulwama,March 2025,97,108.47,17085.0,559656.87,515945.34
Rajouri,March 2025,98,55.58,4869.0,390884.0,703345.0
Ramban,March 2025,38,67.56,2206.0,151180.0,223786.03
Reasi,March 2025,57,53.81,1918.0,203313.0,377855.04
Samba,March 2025,102,60.27,12598.0,497517.0,825429.17
Shopian,March 2025,41,116.78,6416.0,220691.12,188972.34
Srinagar,March 2025,253,66.17,190248.0,2606940.0,3939821.91
Udhampur,March 2025,98,53.99,4125.0,409899.15,759213.99
Anantnag,September 2022,138,74.75,19548.0,517927.0,692917.48
