District,Total Branch,Inactive CSP,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Bajali,30,14,"36,539","21,874","1,21,291","4,523"
Baksa,38,17,"81,928","50,791","1,17,594","5,930"
Barpeta,94,25,"3,36,096","1,83,980","6,65,407","18,014"
Biswanath,58,4,"82,865","65,404","1,46,111","8,796"
Bongaigaon,63,14,"1,20,050","65,208","1,68,191","8,349"
Cachar,161,264,"3,29,646","1,27,861","3,49,117","14,544"
Charaideo,36,3,"71,831","16,983","74,526","4,798"
Chirang,38,4,"1,11,423","63,888","1,58,959","8,386"
Darrang,70,25,"1,98,030","75,243","3,18,197","16,245"
Dhemaji,47,21,"1,46,404","1,17,029","1,33,955","9,026"
Dhubri,88,27,"3,36,255","1,52,906","5,24,490","10,407"
Dibrugarh,181,130,"2,34,624","1,53,227","3,49,242","28,907"
Dima Hasao,31,5,"26,530","6,065","22,652",342
Goalpara,72,21,"1,81,282","74,817","3,23,870","13,124"
Golaghat,121,30,"2,01,335","1,16,686","1,85,875","22,690"
Hailakandi,47,12,"1,38,682","58,453","2,10,536","7,780"
Hojai,59,16,"2,11,362","82,803","2,30,503","6,349"
Jorhat,134,103,"1,44,921","73,006","2,41,497","20,200"
Kamrup Metro,176,36,"3,77,957","1,46,844","4,38,804","34,526"
Karbi Anglong,66,7,"53,246","31,043","70,825","5,230"
Karimganj,92,13,"2,27,685","93,514","1,67,764","5,607"
Kokrajhar,55,22,"1,27,573","86,720","3,14,388","10,337"
Lakhimpur,92,14,"1,76,641","1,40,198","1,87,371","16,066"
Majuli,16,3,"41,030","9,799","47,556","2,272"
Morigaon,67,43,"2,37,409","44,097","1,82,080","13,786"
Nagaon,154,522,"3,73,824","1,69,308","5,31,119","29,808"
Nalbari,86,7,"1,17,177","58,933","2,69,833","14,177"
Sivasagar,97,115,"1,24,898","56,975","1,68,174","10,229"
Sonitpur,128,218,"1,93,189","99,052","4,57,977","16,313"
South Salmara,13,3,"36,799","32,760","1,25,620",489
Tamulpur,21,5,"74,057","38,308","95,268","2,253"
Tinsukia,149,135,"2,24,216","89,408","4,15,685","20,061"
Udalguri,51,13,"1,55,614","98,270","2,97,007","13,202"
West Karbi Anglong,22,3,"18,147","14,060","35,745",744
