district,Total Branch,Current Year Self-Help Group No.,Current Year Self- Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Bajali,30,"1,214","3,660.77","2,503","4,959.56",35,61.90,23,16.52,0.33
Baksa,38,"1,823","6,371.47","4,534","10,380.76",71,184.89,72,54.47,0.52
Barpeta,94,"4,295","13,686.30","8,639","16,107.86",315,385.48,371,197.16,1.22
Biswanath,58,"3,070","8,939.67","7,647","15,731.70",497,955.83,130,137.01,0.87
Bongaigaon,63,"1,981","6,402.15","5,318","10,108.48",151,203.52,43,24.53,0.24
Cachar,161,"3,752","11,658.27","7,018","12,091.78",250,357.87,180,80.78,0.67
Charaideo,36,"1,346","4,561.89","3,868","7,282.59",117,121.90,64,19.69,0.27
Chirang,38,"1,790","5,157.03","4,022","8,667.47",305,619.85,114,56.24,0.65
Darrang,70,"3,108","9,624.27","6,851","13,587.31",161,257.36,130,108.84,0.80
Dhemaji,47,"3,246","10,675.25","7,389","15,962.94",407,549.50,164,66.16,0.41
Dhubri,88,"3,903","10,289.54","7,839","12,203.40",670,956.58,337,120.16,0.98
Dibrugarh,181,"4,196","13,746.45","8,433","18,740.15",442,857.00,219,101.37,0.54
Dima Hasao,31,351,"1,026.87","1,039","2,033.84",32,57.08,4,2.07,0.10
Goalpara,72,"2,903","9,503.05","7,225","14,838.29",194,310.00,195,111.20,0.75
Golaghat,121,"4,263","14,604.41","9,886","22,607.71",344,547.16,89,62.77,0.28
Hailakandi,47,"1,609","4,122.71","3,279","5,523.65",382,586.82,110,52.75,0.95
Hojai,59,"2,410","7,445.31","5,028","8,125.10",169,255.66,121,72.24,0.89
Jorhat,134,"3,100","10,334.30","6,987","16,670.52",278,538.65,30,20.85,0.13
Kamrup,176,"5,976","19,493.66","14,000","29,091.97",653,"1,360.17",464,373.94,1.29
Kamrup Metro,445,889,"3,454.63","2,582","5,137.82",130,177.37,128,92.97,1.81
Karbi Anglong,66,"2,273","6,135.74","6,407","15,215.14",214,479.51,4,3.00,0.02
Karimganj,92,"1,683","4,916.28","3,780","6,213.12",158,284.97,117,94.58,1.52
Kokrajhar,55,"2,941","7,809.29","5,635","9,876.33",350,405.26,75,36.31,0.37
Lakhimpur,92,"4,766","14,260.94","10,081","18,786.29",437,768.75,210,84.96,0.45
Majuli,16,525,"1,935.13","1,964","3,676.71",91,169.81,23,17.68,0.48
Morigaon,67,"2,326","7,853.07","5,886","10,263.79",321,490.35,471,261.28,2.55
Nagaon,154,"6,323","22,213.06","14,282","28,591.14",630,"1,098.69",236,103.81,0.36
Nalbari,86,"3,186","11,206.95","7,953","17,435.32",304,538.23,159,109.45,0.63
Sivasagar,97,"2,435","7,588.09","5,500","10,475.93",135,181.18,82,28.93,0.28
Sonitpur,128,"5,109","16,366.33","9,567","20,953.42",346,494.99,300,118.95,0.57
South Salmara,13,339,891.29,849,"1,291.42",60,128.47,145,40.03,3.10
Tamulpur,21,768,"2,176.71","2,269","4,799.90",64,125.89,18,12.77,0.27
Tinsukia,149,"3,959","13,569.42","7,758","17,833.25",314,509.73,159,84.39,0.47
Udalguri,51,"3,175","8,297.41","5,812","11,626.10",295,465.73,67,95.05,0.82
West Karbi Anglong,22,912,"2,486.27","2,135","4,382.63",105,226.82,1,0.98,0.02
