District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Bajali,30,2503,4959.56,35,61.90,23,16.52,170,344.44,9,5.46,258,676.32,106,172.75,2760,5313.81,135,78.25,9,125.09,1,1.4
Baksa,38,4534,10380.76,71,184.89,72,54.47,52,210.60,7,1.19,718,1166.18,498,670.39,4006,8198.17,511,243.22,6,73.07,2,12.74
Barpeta,94,8639,16107.86,315,385.48,371,197.16,894,1436.10,193,51.14,1458,3346.54,665,1258.22,10079,17351.40,1161,733.59,54,787.88,7,108.41
Biswanath,58,7647,15731.70,497,955.83,130,137.01,71,128.79,1,0.42,283,597.06,115,141.46,8352,14719.65,1443,656.09,13,118.40,3,11.34
Bongaigaon,63,5318,10108.48,151,203.52,43,24.53,90,128.26,23,11.72,638,1130.75,313,412.03,5039,9758.07,226,172.99,65,650.60,10,82.42
Cachar,161,7018,12091.78,250,357.87,180,80.78,316,593.04,22,15.1,1094,2719.66,481,686.56,7777,11357.39,851,440.18,67,1063.51,3,33.31
Charaideo,36,3868,7282.59,117,121.90,64,19.69,8,9.24,0,0,180,405.61,108,214.58,4210,7627.79,175,96.93,10,182.49,0,0
Chirang,38,4022,8667.47,305,619.85,114,56.24,57,53.58,4,1.17,1327,1657.53,1067,1102.61,2972,5780.91,408,250.41,23,282.30,0,0.01
Darrang,70,6851,13587.31,161,257.36,130,108.84,331,638.51,6,5.57,683,1323.53,418,647.84,8062,13971.04,981,757.77,34,510.32,11,120.27
Dhemaji,47,7389,15962.94,407,549.50,164,66.16,159,271.07,3,2.65,944,2438.43,407,698.83,7886,15616.55,735,319.55,11,153.57,,0.06
Dhubri,88,7839,12203.40,670,956.58,337,120.16,286,228.93,174,104.65,1604,2582.88,923,1176.72,8052,11670.32,1054,477.91,30,538.05,1,29.50
Dibrugarh,181,8433,18740.15,442,857.00,219,101.37,524,1127.97,39,24.37,1284,3647.81,564,945.30,8528,17380.64,419,206.51,175,2644.76,19,238.86
Dima Hasao,31,1039,2033.84,32,57.08,4,2.07,45,96.03,3,4.87,278,594.03,84,119.12,1224,2200.10,82,31.29,7,75.10,1,15.37
Goalpara,72,7225,14838.29,194,310.00,195,111.20,68,97.91,7,4.78,786,1119.22,507,608.76,6915,12057.96,966,498.15,35,313.55,11,65.49
Golaghat,121,9886,22607.71,344,547.16,89,62.77,98,282.11,11,7.07,689,1571.86,368,608.88,9914,21570.94,289,170.58,59,874.48,1,0.09
Hailakandi,47,3279,5523.65,382,586.82,110,52.75,284,394.79,31,31.40,673,1685.20,305,462.90,3260,4613.55,500,228.73,9,208.03,2,21.74
Hojai,59,5028,8125.10,169,255.66,121,72.24,236,516.42,1,5.00,339,851.34,79,108.34,5341,8670.86,248,165.28,63,665.88,24,88.24
Jorhat,134,6987,16670.52,278,538.65,30,20.85,946,2090.19,12,6.9,530,1213.86,264,391.05,7436,16993.55,227,150.07,103,1651.47,8,70.86
