district,Total Branch,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
Bajali,30,0,0,101,288.10,"1,276","8,244.97",0,0,21,8.91,"5,005","3,705.61","6,403","12,247.59"
Baksa,38,0,0,59,170.71,588,"5,580.01",0,0,27,6.09,"1,737",867.66,"2,411","6,624.47"
Barpeta,94,0,0,571,"1,225.60","2,233","21,453.03",0,0,377,177.39,"30,351","10,262.82","33,532","33,118.84"
Biswanath,58,0,0,170,492.90,"1,324","10,046.84",0,-,0,-,"14,091","7,969.68","15,585","18,509.42"
Bongaigaon,63,0,0,176,681.92,"1,872","16,363.11",1,12.57,87,42.55,"16,520","6,257.85","18,656","23,358.00"
Cachar,161,0,0,1221,"3,226.50","3,633","28,228.05",12,32.07,14,3.05,"80,657","32,983.55","85,537","64,473.22"
Charaideo,36,0,0,75,195.85,405,"3,170.02",0,0,34,14.62,"5,299","9,958.34","5,813","13,338.83"
Chirang,38,0,0,64,236.79,586,"5,521.70",0,0,109,33.05,"8,670","2,973.73","9,429","8,765.27"
Darrang,70,0,0,411,"1,284.67","1,498","13,278.46",0,-,38,18.77,"17,823","4,971.84","19,770","19,553.74"
Dhemaji,47,0,0,176,507.17,"1,599","13,993.93",1,114.70,15,3.70,"7,882","3,861.77","9,673","18,481.27"
Dhubri,88,0,0,187,639.82,"1,885","15,949.83",1,0.27,219,130.61,"39,798","13,350.21","42,090","30,070.74"
Dibrugarh,181,0,0,925,"3,001.18","4,530","39,946.28",3,15.96,9,3.17,"26,733","12,325.87","32,200","55,292.46"
Dima Hasao,31,0,0,35,106.32,409,"3,317.35",0,-,0,-,95,"1,192.40",539,"4,616.07"
Goalpara,72,0,0,151,580.93,"1,127","10,055.17",2,3.06,412,263.43,"20,936","8,469.87","22,628","19,372.46"
Golaghat,121,0,0,420,"1,287.73","2,351","18,402.70",2,10.12,1,0.54,"28,138","10,978.33","30,912","30,679.42"
Hailakandi,47,0,0,87,232.72,923,"6,310.88",0,0,20,11.19,"14,497","5,977.51","15,527","12,532.30"
Hojai,59,0,0,164,576.77,915,"7,507.45",0,-,0,0,"14,771","20,870.82","15,850","28,955.04"
Jorhat,134,0,0,926,"2,986.32","4,560","40,968.01",1,51.92,0,-,"22,998","7,241.70","28,485","51,247.95"
Kamrup Metro,176,0,0,1375,"4,790.60","5,621","34,871.48",3,20.58,10,4.85,"58,307","22,903.64","65,316","62,591.15"
Karbi Anglong,66,0,0,113,291.57,"2,097","21,312.79",0,0,0,-,"3,034","1,288.28","5,244","22,892.64"
Karimganj,92,0,0,132,352.49,"1,145","6,589.76",0,0,8,5.05,"40,002","21,653.33","41,287","28,600.63"
Kokrajhar,55,0,0,138,392.73,"1,037","10,096.26",0,0,14,7.99,"16,955","5,963.29","18,144","16,460.27"
Lakhimpur,92,0,0,368,"1,036.51","3,332","26,451.22",2,9.53,69,30.73,"20,337","13,174.70","24,108","40,702.69"
Majuli,16,0,0,30,58.84,331,"2,314.33",0,0,0,0,776,824.40,"1,137","3,197.57"
Morigaon,67,0,0,176,487.48,"1,622","11,377.25",0,0,20,8.59,"13,816","23,901.02","15,634","35,774.34"
Nagaon,154,0,0,360,"1,145.21","4,314","35,691.47",4,138.73,1,0.64,"47,414","24,347.14","52,093","61,323.19"
Nalbari,86,0,0,405,"1,316.00","2,496","22,698.89",2,34.10,6,1.78,"21,707","7,511.22","24,616","31,561.99"
Sivasagar,97,0,0,342,"1,110.84","2,639","21,370.77",1,6.09,10,4.22,"19,073","11,801.59","22,065","34,293.51"
Sonitpur,128,0,0,582,"1,976.16","3,823","30,938.56",0,-,1,0.44,"31,414","26,580.70","35,820","59,495.86"
South Salmara,13,0,0,17,55.03,275,"2,693.02",0,0,6,4.34,364,558.80,662,"3,311.19"
Tamulpur,21,0,0,64,155.85,373,"3,511.82",0,0,10,2.01,"2,904",991.28,"3,351","4,660.96"
Tinsukia,149,0,0,675,"2,303.19","2,874","23,512.92",2,0.14,12,5.36,"21,900","11,250.10","25,463","37,071.71"
Udalguri,51,0,0,323,909.13,"1,700","16,193.86",0,0,1,0.27,"11,124","6,689.35","13,148","23,792.61"
West Karbi Anglong,22,0,0,15,66.58,554,"5,789.61",0,0,6,0.51,6,3.11,581,"5,859.81"
