District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Bajali,30,0,0.00,31,49.72,293,678.79,0,0,0,0,"6,416","3,434.84","6,740","4,163.35","15,309","14,196.09"
Baksa,38,0,0.00,23,40.87,39,287.17,0,0,0,0,"1,158","1,026.62","1,220","1,354.66","6,938","9,758.41"
Barpeta,94,0,0.00,132,307.02,254,"2,025.30",0,0,0,0,"4,952","3,565.23","5,338","5,897.55","29,145","34,947.64"
Biswanath,58,0,0.00,54,77.26,51,293.89,0,0,0,0,"2,318","2,080.44","2,423","2,451.59","11,448","13,206.95"
Bongaigaon,63,0,0.00,54,86.95,144,848.25,0,0,0,0,"5,903","3,446.16","6,101","4,381.36","18,829","23,400.92"
Cachar,161,0,0.00,264,299.20,577,"3,012.49",6,9.33,0,0,"27,751","16,278.74","28,598","19,599.76","45,344","39,023.60"
Charaideo,36,0,0.00,17,18.54,39,244.05,0,0,0,0,684,360.37,740,622.96,"6,919","8,160.48"
Chirang,38,0,0.00,17,30.28,23,154.72,0,0,0,0,"2,848","2,088.67","2,888","2,273.67","8,388","10,789.72"
Darrang,70,0,0.00,107,232.68,136,939.33,0,0,0,0,"3,076","2,688.76","3,319","3,860.77","24,557","25,912.66"
Dhemaji,47,0,0.00,72,85.04,48,306.64,0,0,0,0,"3,961","3,407.48","4,081","3,799.16","17,031","19,817.12"
Dhubri,88,0,0.00,56,80.93,137,617.49,0,0,0,0,"11,180","8,870.24","11,373","9,568.66","23,252","28,443.98"
Dibrugarh,181,0,0.00,219,369.13,405,"2,711.53",14,0,0,0,"11,219","7,610.79","11,857","10,691.45","43,068","43,732.89"
Dima Hasao,31,0,0.00,14,14.75,12,75.83,0,0,0,0,258,157.25,284,247.83,"2,112","3,842.58"
Goalpara,72,0,0.00,42,98.20,58,432.54,2,3.06,1,0.01,7604,4327.98,"7,707","4,861.79","18,749","22,389.49"
Golaghat,121,0,0.00,125,181.30,136,"1,067.10",0,0,0,0,"12,100","6,677.98","12,361","7,926.38","36,913","32,143.91"
Hailakandi,47,0,0.00,31,64.25,50,336.24,0,0,0,0,"4,174","2,337.58","4,255","2,738.07","11,039","10,823.37"
Hojai,59,0,0.00,50,92.45,33,261.17,0,0,0,0,"3,863","2,421.44","3,946","2,775.06","12,693","14,046.71"
Jorhat,134,0,0.00,271,499.79,464,"3,206.52",0,0,0,0,"8,033","4,572.87","8,768","8,279.18","27,269","26,519.57"
Kamrup Metro,176,0,0.00,555,963.75,"1,912","5,051.91",0,0,0,0,"14,700","9,621.31","17,167","15,636.97","51,738","47,270.11"
Karbi Anglong,66,0,0.00,25,40.64,35,282.76,0,0.00,0,0,"2,957","1,916.59","3,017","2,239.99","11,327","13,313.86"
Karimganj,92,0,0.00,52,93.66,190,724.93,0,0,0,0,"11,622","6,513.78","11,864","7,332.37","17,529","16,225.84"
Kokrajhar,55,0,0.00,55,88.92,68,605.60,0,0,0,0,"7,415","4,773.04","7,538","5,467.56","19,810","25,828.60"
Lakhimpur,92,0,0.00,164,616.74,202,"1,603.89",0,0,0,0,"7,627","3,938.34","7,993","6,158.97","31,491","30,457.83"
Majuli,16,0,0.00,8,7.08,29,244.97,0,0,0,0,"1,757","1,296.23","1,794","1,548.28","5,109","6,202.72"
Morigaon,67,0,0.00,66,102.99,97,858.59,0,0,0,0,"3,219","1,975.05","3,382","2,936.63","19,161","17,474.95"
Nagaon,154,0,0.00,100,169.84,293,"2,160.41",0,0,0,0,"10,408","6,516.50","10,801","8,846.75","45,360","47,458.35"
Nalbari,86,0,0.00,119,149.52,187,"1,507.04",0,0,0,0,"6,901","4,179.13","7,207","5,835.69","25,685","28,956.13"
Sivasagar,97,0,0.00,136,345.56,188,"1,404.73",0,0,0,0,"4,969","3,604.87","5,293","5,355.16","26,883","24,185.38"
Sonitpur,128,0,0.00,206,513.42,422,"2,413.87",0,0,0,0,"11,359","9,891.28","11,987","12,818.57","34,628","35,402.16"
South Salmara,13,0,0.00,7,11.29,3,9.87,0,0,0,0,96,523.43,106,544.59,"1,048","2,508.04"
Tamulpur,21,0,0.00,34,40.88,24,181.05,0,0,0,0,"1,447","1,081.33","1,505","1,303.26","3,357","4,849.62"
Tinsukia,149,0,0.00,213,631.41,270,"2,368.04",1,0,0,0,"10,128","6,508.89","10,612","9,508.34","34,991","37,126.17"
Udalguri,51,0,0.00,126,172.47,61,370.44,0,0,0,0,"3,242","2,107.18","3,429","2,650.09","14,908","14,233.35"
West Karbi Anglong,22,0,0.00,7,21.41,2,29.86,0,0,0,0,0,0,9,51.27,"2,311","3,663.84"
