District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total Acp (NPS) Disb No.,Total Acp (NPS) Disb Amt
Bajali,30,1,0.7,0,0,0,0,1,33.35,119,1547.95,583,2026.36,4397,16614.91,5101,20223.27
Baksa,38,2,2.01,0,0,0,0,4,23.63,82,787.30,432,1548.55,2197,9427.70,2717,11789.19
Barpeta,94,6,14.85,0,0,0,0,9,147.42,353,4588.75,2049,6696.69,10925,44924.35,13342,56372.06
Biswanath,58,19,17.22,0,0,0,0,1,2.2,127,1088.60,643,2069.15,3732,12948.51,4522,16125.68
Bongaigaon,63,8,21.34,0,0,0,0,6,61.56,359,3977.73,1626,6636.53,11178,43464.98,13177,54162.14
Cachar,161,9,15.8,4,97.89,0,0,10,85.5,485,5989.58,3369,11341.69,30201,93216.71,34078,110747.17
Charaideo,36,1,3,0,0,0,0,2,40.65,49,614.94,357,975.05,1664,8412.36,2073,10046.00
Chirang,38,8,4.31,0,0,0,0,0,0,96,928.72,405,1104.61,2315,11097.58,2824,13135.22
Darrang,70,8,27.75,0,0,0,0,19,318.43,203,1819.58,1469,4560.99,7713,27756.08,9412,34482.83
Dhemaji,47,9,5.32,0,0,0,0,3,24.95,158,1530.07,1281,5256.18,7409,25801.50,8860,32618.02
Dhubri,88,17,24.85,0,0,0,0,2,21.88,222,2080.72,1403,3919.82,12045,37731.41,13689,43778.68
Dibrugarh,181,50,1200.97,7,186.15,0,0,17,227.73,695,11412.84,5817,33153.20,28210,174727.72,34796,220908.61
Dima Hasao,31,0,0,0,0,0,0,2,44.28,29,290.45,814,4431.99,1994,9874.81,2839,14641.53
Goalpara,72,14,3.44,0,0,0,0,0,0,121,908.49,847,2992.78,7604,32932.77,8586,36837.48
Golaghat,121,36,54.75,0,0,0,0,9,114.12,322,3552.28,2144,7813.77,13362,81923.07,15873,93457.99
Hailakandi,47,12,818.84,0,0,0,0,1,17.94,56,911.99,724,2697.29,4592,17393.12,5385,21839.18
Hojai,59,27,7.93,0,0,0,0,3,26.17,101,1394.90,1239,4468.92,6605,22453.39,7975,28351.31
Jorhat,134,23,340.55,5,21.45,0,0,19,209.14,873,9192.25,3423,14780.80,19941,64819.30,24284,89363.49
Kamrup Metro,176,25,40.81,0,0,0,0,7,118.12,1749,22859.40,4769,20205.72,33987,145865.14,40537,189089.19
Karbi Anglong,66,3,32.05,0,0.00,0,0,4,62.42,46,623.75,1565,7835.64,6462,25103.78,8080,33657.64
Karimganj,92,7,0.86,0,0,0,0,5,68.6,93,1106.68,1329,5164.82,7893,27894.56,9327,34235.52
Kokrajhar,55,13,10.71,0,0,0,0,5,68.18,204,2678.09,1178,4343.60,9315,36425.27,10715,43525.85
Lakhimpur,92,17,7.03,4,126.35,0,0,6,34.07,409,4698.61,2480,9901.02,12629,48202.65,15545,62969.73
Majuli,16,0,0,0,0,0,0,0,0,36,478.40,371,2300.63,1231,5062.81,1638,7841.84
Morigaon,67,15,15.59,0,0,0,0,2,53.01,119,2001.35,1371,5724.03,5930,21656.48,7437,29450.46
Nagaon,154,6,7.58,0,0,0,0,32,634.06,501,6317.09,2925,11536.18,19025,90145.52,22489,108640.43
Nalbari,86,8,12.8,6,131.15,0,0,2,4.24,353,4075.45,1760,7645.06,9746,36375.86,11875,48244.56
Sivasagar,97,8,59.69,0,0,0,0,10,99.59,341,3730.35,2670,10624.08,16300,52848.06,19329,67361.77
Sonitpur,128,9,7.24,0,0,0,0,14,260.49,789,8955.20,3157,12176.30,18184,69244.73,22153,90643.96
South Salmara,13,0,0,0,0,0,0,0,0,12,73.52,126,316.67,757,2850.66,895,3240.85
Tamulpur,21,0,0,0,0,0,0,0,0,23,86.94,169,408.14,1193,4829.18,1385,5324.26
Tinsukia,149,17,434.62,8,546,0,0,13,198.4,436,6250.46,3658,15800.91,15498,68461.33,19630,91691.72
Udalguri,51,1,9.73,0,0,0,0,5,34.7,148,603.94,633,1415.12,3926,19573.95,4713,21637.44
West Karbi Anglong,22,0,0,0,0,0,0,0,0,4,27.60,259,1173.49,924,3612.72,1187,4813.81
