district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bajali,30,"1,04,11,011","1,97,163.12",65,0.78,"1,973",262.40,"2,56,643","6,12,721.75","2,20,092","36,035.26","1,34,105","3,042.00"
Baksa,38,"85,80,265","1,48,148.20",80,170.02,"2,644","1,819.12","2,11,631","18,957.98","1,93,685","8,902.47","73,490","1,616.83"
Barpeta,94,"4,52,20,837","9,50,006.88",766,"9,489.02","6,679","4,433.59","9,37,041","20,46,122.60","5,07,888","85,309.38","2,55,883","6,083.52"
Biswanath,58,"1,61,82,192","2,61,117.19",63,630.49,"3,136","2,274.38","6,79,652","7,76,084.97","3,53,170","74,296.13","1,49,237","3,312.77"
Bongaigaon,63,"2,11,86,014","4,30,439.70",188,"2,279.35","7,051","3,449.28","3,60,315","16,29,540.36","4,98,052","68,731.52","2,66,143","6,368.96"
Cachar,161,"4,96,65,380","9,05,752.49",352,"2,195.74","10,998","8,088.42","13,39,076","14,12,132.95","12,94,695","99,424.91","5,53,502","13,204.25"
Charaideo,36,"1,05,93,426","1,52,187.92",175,331.68,"1,306","1,255.83","3,13,023","3,28,864.13","2,50,543","9,201.32","98,189","2,331.37"
Chirang,38,"1,09,97,537","2,10,296.30",258,512.62,"2,131","1,091.82","2,32,395","3,65,346.70","1,30,271","7,040.08","2,10,602","4,690.33"
Darrang,70,"2,71,03,014","5,64,828.93",392,"7,471.82","6,491","3,122.31","6,52,362","19,46,616.45","4,83,182","56,391.29","1,63,779","4,013.03"
Dhemaji,47,"2,33,13,970","3,48,363.33",209,"2,218.31","3,476","2,458.21","4,64,400","10,32,196.55","2,38,512","72,326.54","1,49,110","3,542.10"
Dhubri,88,"3,59,10,696","7,50,171.01",806,"15,343.61","4,719","2,039.73","10,00,601","16,12,200.49","4,73,971","81,868.18","1,73,849","5,443.05"
