District,Total No. of Camps (FY),No. of rural branches in district,No. of Camps Conducted
Baksa,69,56,25
Barpeta,261,64,74
Biswanath,32,35,21
Bongaigaon,0,25,0
Cachar,0,90,0
Charaideo,179,21,82
Chirang,26,23,18
Darrang,54,39,15
Dhemaji,145,23,75
Dhubri,129,40,31
Dibrugarh,101,91,16
Dima Hasao,10,13,0
Goalpara,365,43,285
Golaghat,20,71,0
Hailakandi,115,18,45
Hojai,22,20,0
Jorhat,205,56,43
Kamrup Metro,176,134,34
Karbi Anglong,29,39,17
Karimganj,155,56,42
Kokrajhar,108,34,70
Lakhimpur,164,53,0
Majuli,125,15,32
Morigaon,54,41,12
Nagaon,115,91,58
Nalbari,289,57,119
Sivasagar,34,55,20
Sonitpur,119,61,95
South Salmara,92,8,50
Tinsukia,60,55,18
Udalguri,214,30,38
West Karbi Anglong,14,22,6
