District,Total Branch,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Bajali,30,"25,750","19,362.75","6,928","8,539.35"
Baksa,38,"12,763","14,238.16","2,982","4,948.53"
Barpeta,94,"80,532","68,742.86","30,070","31,975.11"
Biswanath,58,"37,158","30,153.50","9,951","11,901.72"
Bongaigaon,63,"44,777","51,069.73","29,068","28,469.46"
Cachar,161,"1,45,785","1,15,938.18","71,606","58,345.51"
Charaideo,36,"16,999","19,889.84","9,592","10,112.83"
Chirang,38,"21,604","19,696.05","11,367","9,105.45"
Darrang,70,"60,563","48,990.13","26,960","24,171.57"
Dhemaji,47,"38,546","45,577.28","14,807","17,812.84"
Dhubri,88,"70,127","48,887.32","17,203","19,034.68"
Dibrugarh,181,"1,13,614","1,42,250.82","41,047","57,665.45"
Dima Hasao,31,"6,842","16,323.90","1,904","6,056.22"
Goalpara,72,"47,348","39,829.60","18,406","18,105.04"
Golaghat,121,"86,895","72,022.76","32,800","32,779.95"
Hailakandi,47,"25,746","26,052.13","7,767","9,987.41"
Hojai,59,"35,750","30,250.31","11,098","13,019.04"
Jorhat,134,"91,984","1,08,433.30","28,618","37,076.03"
Kamrup Metro,176,"1,40,008","1,30,315.06","69,038","68,526.97"
Karbi Anglong,66,"34,323","52,413.60","9,045","16,683.85"
Karimganj,92,"62,286","41,340.63","22,279","19,237.24"
Kokrajhar,55,"39,573","40,466.36","32,252","26,321.95"
Lakhimpur,92,"84,903","79,504.26","23,433","31,931.57"
Majuli,16,"5,688","7,817.49","3,747","3,551.21"
Morigaon,67,"48,731","41,538.85","11,395","15,263.28"
Nagaon,154,"1,52,442","1,26,845.30","45,003","48,541.73"
Nalbari,86,"71,937","63,256.29","26,400","28,292.92"
Sivasagar,97,"83,759","91,962.42","28,636","34,193.71"
Sonitpur,128,"91,680","1,00,723.49","40,799","43,322.91"
South Salmara,13,"1,484","2,320.18",435,"1,022.10"
Tamulpur,21,"9,514","8,642.05","1,992","2,597.71"
Tinsukia,149,"76,299","90,090.35","33,610","37,790.71"
Udalguri,51,"31,131","29,363.45","19,047","13,649.32"
West Karbi Anglong,22,"6,621","9,535.54","1,664","2,928.75"
